,index,hotbit
0,0,-63.88542432413641
1,1,-63.877524290337135
2,2,-63.87576317326187
3,3,-63.84829657033913
4,4,-63.83856968781879
5,5,-63.83777155753029
6,6,-63.833525042525196
7,7,-63.83007101293828
8,8,-63.82600352226666
9,9,-63.82064359214593
10,10,-63.81677337785368
11,11,-63.81012287393804
12,12,-63.80245317589555
13,13,-63.80086655166093
14,14,-63.7991330993915
15,15,-63.795216093259114
16,16,-63.792372757441
17,17,-63.79089229926802
18,18,-63.78973260314484
19,19,-63.787823502606216
20,20,-63.78528494867294
21,21,-63.78482302799813
22,22,-63.784193074093594
23,23,-63.781748368024864
24,24,-63.77649342318273
25,25,-63.77134938733093
26,26,-63.770178801613895
27,27,-63.76313900463322
28,28,-63.74484003249398
29,29,-63.73990905952104
30,30,-63.72762926015798
31,31,-63.725823126248486
32,32,-63.723408490395855
33,33,-63.710039072661516
