,index,hotbit
0,0,-96.75630401099409
1,1,-96.75189802494037
2,2,-96.74607236240138
3,3,-96.74122628118232
4,4,-96.71017054650167
5,5,-96.70912385380825
6,6,-96.70896703751635
7,7,-96.7019808176534
8,8,-96.69851311693435
9,9,-96.6967551591049
10,10,-96.69672282623048
11,11,-96.69406943870808
12,12,-96.69394021746109
13,13,-96.69331757440864
14,14,-96.69124500934834
15,15,-96.68667135500209
16,16,-96.68181230150799
17,17,-96.66612942710128
18,18,-96.6631345568212
19,19,-96.66025329604452
20,20,-96.65682917299705
21,21,-96.65367390082531
22,22,-96.65180131620627
23,23,-96.65121888866645
24,24,-96.64391448812228
25,25,-96.6434580042112
26,26,-96.64149775365422
27,27,-96.64094061200774
28,28,-96.6402267489043
29,29,-96.64011062315058
30,30,-96.63882352806411
31,31,-96.63875413543758
32,32,-96.63646974330447
33,33,-96.63604187118665
34,34,-96.63579192947145
35,35,-96.63533461138002
36,36,-96.63006250540332
37,37,-96.62899416923733
38,38,-96.62255339165074
39,39,-96.6215522965582
40,40,-96.61970884750849
41,41,-96.61940896275587
42,42,-96.61791819729604
43,43,-96.61772874450423
44,44,-96.61691028875725
45,45,-96.61683166518685
46,46,-96.6161989450253
47,47,-96.61589270931995
48,48,-96.61481876944595
49,49,-96.61428725386179
50,50,-96.60899877808106
51,51,-96.60810605503718
52,52,-96.60575599329536
53,53,-96.60561693837587
54,54,-96.60471303845782
55,55,-96.60449906847396
56,56,-96.6043724874329
57,57,-96.59864488994504
58,58,-96.59589401424137
59,59,-96.59353506017987
60,60,-96.58885340955817
61,61,-96.58765805272913
62,62,-96.5806330028521
63,63,-96.58002714825466
64,64,-96.57766798610191
65,65,-96.57065234429172
66,66,-96.56699802479375
67,67,-96.56548231972852
68,68,-96.56324984392177
69,69,-96.56288553535592
70,70,-96.56161386743042
71,71,-96.56150608767007
72,72,-96.55908383342296
73,73,-96.5585009309874
74,74,-96.55746149808988
75,75,-96.55450853481148
76,76,-96.55434802198738
77,77,-96.55344113562842
78,78,-96.55313526778264
79,79,-96.55292627268477
80,80,-96.55236284222804
81,81,-96.55191406766289
82,82,-96.55186032432437
83,83,-96.54951332612586
84,84,-96.54913061925174
85,85,-96.54227202578488
86,86,-96.5411929991991
87,87,-96.54003269217299
88,88,-96.53993633547361
89,89,-96.53962327170962
90,90,-96.53919014637336
91,91,-96.53634832555463
92,92,-96.53598117729018
93,93,-96.5346085186145
94,94,-96.53410380756463
95,95,-96.53135984226958
96,96,-96.53088813071656
97,97,-96.53064675568714
98,98,-96.52144367038579
99,99,-96.52002665169596
100,100,-96.5195975084415
101,101,-96.51820955586118
102,102,-96.51757510552852
103,103,-96.5172957165156
104,104,-96.51450176543892
105,105,-96.51381013833918
106,106,-96.51195841741674
107,107,-96.50730428910833
108,108,-96.50469081382823
109,109,-96.50043706237068
110,110,-96.49845520675251
111,111,-96.49844132683575
112,112,-96.49813387106701
113,113,-96.4943401726182
114,114,-96.4743371254823
115,115,-96.46626819280675
116,116,-96.46128059556429
117,117,-96.46071617241125
118,118,-96.4603708271867
119,119,-96.45872927804544
120,120,-96.45863171079941
121,121,-96.45768727842665
122,122,-96.45622163381017
123,123,-96.44523649599944
124,124,-96.44338439895614
125,125,-96.44081809427564
126,126,-96.43922179674598
127,127,-96.43192831947101
128,128,-96.43054939709089
129,129,-96.43044964721332
130,130,-96.42736246487652
131,131,-96.33683875292763
132,132,-96.30160426701684
133,133,-96.2868932155892
134,134,-96.27303803272548
135,135,-96.21547785419045
136,136,-96.06671244748418
