,index,hotbit
0,0,-122.13660116892652
1,1,-122.13580085995824
2,2,-122.13367149894555
3,3,-122.13261291801939
4,4,-122.12989370646511
5,5,-122.12933028813137
6,6,-122.12909099842415
7,7,-122.12845277429784
8,8,-122.12791734242654
9,9,-122.1274171158961
10,10,-122.12674315253105
11,11,-122.12653303757236
12,12,-122.12639520172405
13,13,-122.12622463317223
14,14,-122.12481391543184
15,15,-122.12386058225843
16,16,-122.12375961265536
17,17,-122.12339004942709
18,18,-122.1233887289738
19,19,-122.12295387947557
20,20,-122.12293260789193
21,21,-122.12187837592296
22,22,-122.12074505008763
23,23,-122.12035479485138
24,24,-122.12029136452583
25,25,-122.11991550085764
26,26,-122.11966806634325
27,27,-122.11887683575839
28,28,-122.11794615016066
29,29,-122.11753437749275
30,30,-122.11684121322679
31,31,-122.11661821400281
32,32,-122.1156852432336
33,33,-122.1155789841336
34,34,-122.11530402043996
35,35,-122.1142461552007
36,36,-122.11397727388822
37,37,-122.11176291497424
38,38,-122.11084011122716
39,39,-122.11039044026188
40,40,-122.1096290985111
41,41,-122.1094083281456
42,42,-122.10918122917207
43,43,-122.10823890094724
44,44,-122.10763921531645
45,45,-122.10678293183366
46,46,-122.10627804712198
47,47,-122.10498221116723
48,48,-122.10485602535203
49,49,-122.10428144888215
50,50,-122.10355813427964
51,51,-122.10132458232908
52,52,-122.09780517438617
53,53,-122.09636900984884
54,54,-122.09515524780028
55,55,-122.09406619446406
56,56,-122.09377020056047
57,57,-122.0927800429231
58,58,-122.09056738036378
59,59,-122.08904556110286
60,60,-122.08669883482321
61,61,-122.0843362492418
62,62,-122.08331866863409
63,63,-122.07829733104887
64,64,-122.07760667176132
65,65,-122.07734783473978
66,66,-122.0746665079763
67,67,-122.07459649745573
68,68,-122.07353170898142
69,69,-122.07136066963989
70,70,-122.06976614200488
71,71,-122.06965092145305
72,72,-122.0688945467976
73,73,-122.06870441728626
74,74,-122.06870409323415
75,75,-122.06756518930814
76,76,-122.06653633366977
77,77,-122.06645842047516
78,78,-122.06603015977748
79,79,-122.06596009419661
80,80,-122.0655307058762
81,81,-122.06464263182039
82,82,-122.06429209995446
83,83,-122.06413299974679
84,84,-122.06408625669815
85,85,-122.06386792109362
86,86,-122.06377827723435
87,87,-122.0637625500895
88,88,-122.06368770563705
89,89,-122.06345524958499
90,90,-122.06344152390972
91,91,-122.06323519083372
92,92,-122.06318672714008
93,93,-122.06294387642998
94,94,-122.06267820658223
95,95,-122.06249651935667
96,96,-122.06239423907601
97,97,-122.06217677684509
98,98,-122.06209863761939
99,99,-122.06183859173666
100,100,-122.06164501750436
101,101,-122.06155191960465
102,102,-122.06152287467847
103,103,-122.06134677027842
104,104,-122.06134644701314
105,105,-122.06125334456715
106,106,-122.06120005902335
107,107,-122.0606626816745
108,108,-122.06063963853387
109,109,-122.05993160736972
110,110,-122.05990638212683
111,111,-122.05988054860126
112,112,-122.05955361709971
113,113,-122.05919816881266
114,114,-122.05916280244816
115,115,-122.05906026720038
116,116,-122.05893948598623
117,117,-122.05887404631181
118,118,-122.05884533498869
119,119,-122.05881146480078
120,120,-122.05863602345283
121,121,-122.05810737538525
122,122,-122.05804623636976
123,123,-122.0580076757866
124,124,-122.05781741885147
125,125,-122.05774368891116
126,126,-122.05769619959398
127,127,-122.05767063168639
