,index,hotbit,gaussian
0,0.0,-2840.386073695966,-174872.06236270868
1,1.0,-2840.3674618594937,-174874.45455995167
2,2.0,-2840.3179418359437,-174874.01930433986
3,3.0,-2840.29332367487,-174870.86113822143
4,4.0,-2840.230086196864,-174873.73434417415
5,5.0,-2840.2169834449155,-174872.67158134416
6,6.0,-2840.2114185680034,-174874.20655664508
7,7.0,-2840.1965761464617,-174874.01664648356
8,8.0,-2840.184124242478,-174874.4562685736
9,9.0,-2840.172491067351,-174874.01930433986
10,10.0,-2840.1568175007224,-174874.30850441926
11,11.0,-2840.151931106334,-174872.49242917242
12,12.0,-2840.1487256214896,-174872.14285778542
13,13.0,-2840.144758910982,-174872.0143314482
14,14.0,-2840.111951521671,-174874.20655664508
15,15.0,-2840.0897809827543,-174869.9707563578
16,16.0,-2840.08743285245,-174872.0143314482
17,17.0,-2840.078838358769,-174874.01930433986
18,18.0,-2840.0788076505537,-174873.73434417415
19,19.0,-2840.0686948715247,-174872.10963458157
20,20.0,-2840.0682001835335,-174874.20655664508
21,21.0,-2840.043683160999,-174874.01664648356
22,22.0,-2840.0173267462246,-174874.3863416397
23,23.0,-2840.0082510430557,-174874.45455995167
24,24.0,-2840.006775919206,-174873.97361452426
25,25.0,-2839.9980349036664,-174874.3863416397
26,26.0,-2839.9922806126337,-174874.30850441926
27,27.0,-2839.9738799013585,-174872.49242917242
28,28.0,-2839.9522360502483,-174872.520399946
29,29.0,-2839.9426599416925,-174874.37887432915
30,30.0,-2839.9265398424836,-174874.01930433986
31,30.999999999999996,-2839.921353814019,-174872.14285778542
32,32.0,-2839.899656819386,-174874.3863416397
33,33.0,-2839.8971856775256,-174874.30850441926
34,34.0,-2839.8907911730225,-174870.86113822143
35,35.0,-2839.8661896558306,-174874.4562685736
36,36.0,-2839.859936602052,-174874.3863416397
37,37.0,-2839.808439883122,-174872.5019847987
38,38.0,-2839.786979330864,-174873.73434417415
39,39.0,-2839.7765218665554,-174873.73434417415
40,40.0,-2839.7588162444445,
41,41.0,-2839.753682049898,
42,42.0,-2839.7484006784207,
43,43.0,-2839.7264860685405,
44,44.0,-2839.71253989108,
45,45.0,-2839.692626321713,
46,46.0,-2839.6808848167907,
47,46.99999999999999,-2839.650749096913,
48,48.0,-2839.6478145430706,
49,49.0,-2839.6344522995855,
50,50.0,-2839.617631029759,
51,50.99999999999999,-2839.5656879611415,
52,52.0,-2839.4838412647946,
53,53.0,-2839.450442089508,
54,54.0,-2839.422215065123,
55,55.00000000000001,-2839.39688824335,
56,56.0,-2839.390004664198,
57,57.0,-2839.3669777423975,
58,58.0,-2839.3155204735767,
59,59.00000000000001,-2839.280129327974,
60,60.0,-2839.2255542982143,
61,61.0,-2839.170610447484,
62,61.99999999999999,-2839.146945782188,
63,63.00000000000001,-2839.0301704895087,
64,64.0,-2839.0141086456124,
65,65.0,-2839.0080891799953,
66,66.0,-2838.9457327436353,
67,67.0,-2838.9441045919934,
68,68.0,-2838.9193420693355,
69,69.0,-2838.868852782323,
70,70.0,-2838.8317707442993,
71,71.0,-2838.8290911965832,
72,72.0,-2838.811501088316,
73,73.0,-2838.8070794717737,
74,74.0,-2838.8070719356783,
75,75.0,-2838.7805857978638,
76,76.0,-2838.7566589225526,
77,77.0,-2838.7548469877947,
78,78.0,-2838.744887436686,
79,79.0,-2838.743258004572,
80,80.0,-2838.733272229679,
81,81.0,-2838.7126193446607,
82,82.0,-2838.7044674408016,
83,83.0,-2838.7007674359725,
84,84.0,-2838.6996803883294,
85,85.0,-2838.694602816131,
86,86.0,-2838.692518075218,
87,87.0,-2838.692152327663,
88,88.0,-2838.6904117590016,
89,89.0,-2838.685005804303,
90,90.0,-2838.6846866025517,
91,91.00000000000001,-2838.679888158924,
92,92.0,-2838.678761096281,
93,93.0,-2838.673113405349,
94,93.99999999999999,-2838.6669350367965,
95,95.0,-2838.662709752481,
96,96.0,-2838.6603311413023,
97,97.0,-2838.6552738801183,
98,98.0,-2838.6534566888236,
99,99.00000000000001,-2838.647409110155,
100,100.0,-2838.6429073838226,
101,101.0,-2838.6407423163873,
102,101.99999999999999,-2838.640066852988,
103,103.0,-2838.635971401824,
104,104.0,-2838.635963884027,
105,105.0,-2838.6337987108645,
106,106.0,-2838.6325595121716,
107,107.00000000000001,-2838.6200623645236,
108,108.0,-2838.6195264775324,
109,109.0,-2838.6030606365057,
110,110.00000000000001,-2838.60247400295,
111,111.0,-2838.6018732232856,
