,index,hotbit
0,0,-63.87284595235349
1,1,-63.86670490447489
2,2,-63.864939154511035
3,3,-63.82649442797515
4,4,-63.82560499754129
5,5,-63.82526607637084
6,6,-63.820376969669724
7,7,-63.81575674984816
8,8,-63.807859093575246
9,9,-63.80773835058028
10,10,-63.805359058567205
11,11,-63.79918473387659
12,12,-63.79128703199194
13,13,-63.77752871878653
14,14,-63.77336192414805
15,15,-63.7731595663908
16,16,-63.772545665688654
17,17,-63.7717642737619
18,18,-63.76925990522517
19,19,-63.76606057013237
20,20,-63.765856144173085
21,21,-63.76534305443761
22,22,-63.765143908577045
23,23,-63.763753205111186
24,24,-63.76087259260839
25,25,-63.756095681214276
26,26,-63.753419538826165
27,27,-63.74882596488203
28,28,-63.744839499382465
29,29,-63.744138116027216
30,30,-63.73704814913066
31,31,-63.729231208651186
32,32,-63.71779577905596
33,33,-63.70530442937991
34,34,-63.703912038961846
35,35,-63.699261586858825
36,36,-63.69893718401539
37,37,-63.69871179527996
38,38,-63.69821928527017
39,39,-63.69436719159438
40,40,-63.688564726002426
41,41,-63.638341424393445
42,42,-63.630433767441616
43,43,-63.62675088084006
