,index,hotbit,gaussian
0,0.0,-1485.4150221477557,-169801.6980419691
1,1.0,-1485.2722070808115,-169797.24303181857
2,2.0,-1485.231143128164,-169797.24303181857
3,3.0,-1484.3370797203524,-169797.24303181857
4,4.0,-1484.316395291658,-169801.6980419691
5,5.0,-1484.3085134039732,-169797.24303181857
6,6.0,-1484.1948132481332,-169801.6980419691
7,7.0,-1484.0873662755387,-169801.6980419691
8,8.0,-1483.9036998505871,-169801.6980419691
9,9.0,-1483.90089187396,-169801.6980419691
10,10.0,-1483.8455595015632,-169801.6980419691
11,11.0,-1483.7019705552698,-169801.6980419691
12,12.0,-1483.5183030695803,-169801.6980419691
13,13.0,-1483.1983422973615,-169801.6980419691
14,14.0,-1483.1014400964661,-169798.61201766477
15,15.0,-1483.096734102112,-169801.6980419691
16,16.0,-1483.0824573415969,-169801.6980419691
17,17.0,-1483.0642854363234,-169801.6980419691
18,18.0,-1483.0060443075622,-169801.6980419691
19,19.0,-1482.9316411658692,-169801.6980419691
20,20.0,-1482.926887073793,-169801.6980419691
21,21.0,-1482.9149547543632,-169801.6980419691
22,22.0,-1482.9103234552804,-169801.6980419691
23,23.0,-1482.8779815142138,-169801.6980419691
24,24.0,-1482.8109905257768,-169798.61201766477
25,25.0,-1482.699899563123,-169801.6980419691
26,26.0,-1482.637663693632,-169801.6980419691
27,27.0,-1482.5308363926056,-169801.6980419691
28,28.0,-1482.4381278926155,-169797.24303181857
29,29.0,-1482.421816651796,-169801.6980419691
30,30.0,-1482.256933700713,-169798.61201766477
31,30.999999999999996,-1482.075144387237,-169801.6980419691
32,32.0,-1481.809204164092,-169801.6980419691
33,33.0,-1481.5187076599977,-169801.6980419691
34,34.0,-1481.4863264874848,-169798.61201766477
35,35.0,-1481.3781764385772,-169801.6980419691
36,36.0,-1481.3706321864045,-169801.6980419691
37,37.0,-1481.3653905879062,-169801.6980419691
38,38.0,-1481.3539368667484,-169797.24303181857
39,39.0,-1481.2643532928928,-169801.6980419691
40,40.0,-1481.1294122326146,-169798.61201766477
41,41.0,-1479.9614284742665,-169801.6980419691
42,42.0,-1479.7775294753865,-169801.6980419691
43,43.0,-1479.691880949769,-169798.61201766477
