,index,hotbit
0,0,-106.34153928772344
1,1,-106.30149843810943
2,2,-106.28502860011224
3,3,-106.27260152996575
4,4,-106.27092182784043
5,5,-106.26069592783153
6,6,-106.25557649902385
7,7,-106.25114012261452
8,8,-106.2501406054514
9,9,-106.24970119149691
10,10,-106.24732087655423
11,11,-106.24260267439888
12,12,-106.24189458331318
13,13,-106.23901881317477
14,14,-106.23806736001234
15,15,-106.2380241019597
16,16,-106.2375802852298
17,17,-106.2340546706588
18,18,-106.22716488463936
19,19,-106.22691129485543
20,20,-106.22280549871107
21,21,-106.19533415768706
22,22,-106.18762430838319
23,23,-106.18556855605493
24,24,-106.18297312809591
25,25,-106.18214275840057
26,26,-106.17744289968311
27,27,-106.17709431135722
28,28,-106.17475658825936
29,29,-106.17370687507594
30,30,-106.17072309420428
31,31,-106.16583314050513
32,32,-106.1640220578314
33,33,-106.16013432952764
34,34,-106.15860754975142
35,35,-106.1586020986025
36,36,-106.15699939524552
37,37,-106.15675190767968
38,38,-106.15476771959027
39,39,-106.15385077667793
40,40,-106.15227013965739
41,41,-106.15141200316395
42,42,-106.14896413544182
43,43,-106.14859668377221
44,44,-106.14503410700286
45,45,-106.14503349292545
46,46,-106.14411392757745
47,47,-106.14255644543573
48,48,-106.14098409509563
49,49,-106.13901640752431
50,50,-106.13819842505598
51,51,-106.13665743005663
52,52,-106.13660813477532
53,53,-106.13429932747317
54,54,-106.13428323954884
55,55,-106.13354951217832
56,56,-106.13151070822323
57,57,-106.13119173268387
58,58,-106.1311664976264
59,59,-106.13101348731755
60,60,-106.12605102721295
61,61,-106.12596871491291
62,62,-106.12574347591817
63,63,-106.12511892756322
64,64,-106.12342392108997
65,65,-106.12294842085782
66,66,-106.1227309295167
67,67,-106.12236671288792
68,68,-106.12198060349317
69,69,-106.12187349370026
70,70,-106.11790295584728
71,71,-106.11748235474602
72,72,-106.11717028226985
73,73,-106.11680160563037
74,74,-106.11609048287858
75,75,-106.1160055389812
76,76,-106.11560525306174
77,77,-106.11557600395008
78,78,-106.11510869812776
79,79,-106.11502038516801
80,80,-106.11450333216783
81,81,-106.11388614449595
82,82,-106.112612385072
83,83,-106.11255429193932
84,84,-106.11206797045122
85,85,-106.1111829566471
86,86,-106.11052029709799
87,87,-106.10979443019528
88,88,-106.10821454562256
89,89,-106.10519948715034
90,90,-106.10418639198349
91,91,-106.10335392762465
92,92,-106.10272786644487
93,93,-106.1024545389588
94,94,-106.10037714828184
95,95,-106.10022676496976
96,96,-106.09911870508927
97,97,-106.09902132429738
98,98,-106.09812339400992
99,99,-106.09709707419063
100,100,-106.09698162734469
101,101,-106.09599296304293
102,102,-106.0954770636879
103,103,-106.09520814605935
104,104,-106.0915488457473
105,105,-106.09113544646573
106,106,-106.0910671110704
107,107,-106.09085681210865
108,108,-106.0906968085892
109,109,-106.08977005612041
110,110,-106.08934708158279
111,111,-106.08892338779435
112,112,-106.08885547324383
113,113,-106.08840116743966
114,114,-106.0880982019861
115,115,-106.08784467853161
116,116,-106.0877843818862
117,117,-106.08776543594672
118,118,-106.08762510515237
119,119,-106.08724029338157
120,120,-106.0870350297389
121,121,-106.0860108361436
122,122,-106.08521148351474
123,123,-106.08465059393541
124,124,-106.08300691734905
125,125,-106.08203787559557
126,126,-106.08076563547058
127,127,-106.08032268899433
128,128,-106.07975339241034
129,129,-106.07965619660172
130,130,-106.07857107399116
131,131,-106.07783967462672
