,index,hotbit
0,0,-138.15038490570862
1,1,-138.14425532135158
2,2,-138.14246871881744
3,3,-138.12875781641776
4,4,-138.124920961812
5,5,-138.12269065961095
6,6,-138.12192364718987
7,7,-138.12111011197555
8,8,-138.1198302367859
9,9,-138.11940472461595
10,10,-138.11923448132586
11,11,-138.11886502786297
12,12,-138.1188585390446
13,13,-138.11851516836361
14,14,-138.1185143722256
15,15,-138.11842407156746
16,16,-138.1184049314312
17,17,-138.11829761930005
18,18,-138.11827111779667
19,19,-138.11796733345534
20,20,-138.1177657319247
21,21,-138.11762990338627
22,22,-138.11751240663716
23,23,-138.11748589478782
24,24,-138.1172634238742
25,25,-138.1170048019162
26,26,-138.1168408148294
27,27,-138.11682265205923
28,28,-138.11681136006428
29,29,-138.11669356798916
30,30,-138.1165351798802
31,31,-138.11636433390333
32,32,-138.11603384632951
33,33,-138.11596791389195
34,34,-138.1159396911471
35,35,-138.11528604139664
36,36,-138.11528499146732
37,37,-138.11526988917115
38,38,-138.11521672616277
39,39,-138.11515200924714
40,40,-138.11510600006739
41,41,-138.11499031585515
42,42,-138.11472223528438
43,43,-138.11457803519454
44,44,-138.114563905664
45,45,-138.11449393804628
46,46,-138.11442817398165
47,47,-138.11434119768387
48,48,-138.1142999087025
49,49,-138.11426215293045
50,50,-138.11422291866415
51,51,-138.114132916136
52,52,-138.11410412240275
53,53,-138.11401736052278
54,54,-138.11400909900658
55,55,-138.11388639399183
56,56,-138.1135866190865
57,57,-138.1135725332041
58,58,-138.11355976660388
59,59,-138.11353164725767
60,60,-138.11348849952992
61,61,-138.11333353228883
62,62,-138.11326722151875
63,63,-138.11324495236545
64,64,-138.11322546716383
65,65,-138.11307921382274
66,66,-138.11301670883927
67,67,-138.11299658926964
68,68,-138.1129814941355
69,69,-138.11297805489107
70,70,-138.11296227885373
71,71,-138.11291715747473
72,72,-138.1129153444615
73,73,-138.1129104060792
74,74,-138.11286712537003
75,75,-138.11285492541742
76,76,-138.11284251683242
77,77,-138.1127392862785
78,78,-138.112707910043
79,79,-138.11248364431685
80,80,-138.11247722734663
81,81,-138.1124177599031
82,82,-138.1123491240619
83,83,-138.11231110373626
84,84,-138.1122641298001
85,85,-138.11224957807985
86,86,-138.11222714849418
87,87,-138.11219968285275
88,88,-138.1121984053168
89,89,-138.11219757310312
90,90,-138.11213895231788
91,91,-138.11213528929773
92,92,-138.11211828974479
93,93,-138.1120911858618
94,94,-138.1119966608528
95,95,-138.11198135639177
96,96,-138.11196831875566
97,97,-138.11195383769905
98,98,-138.11187210256753
99,99,-138.11170675369362
100,100,-138.11144670093609
101,101,-138.11131573455327
102,102,-138.1113109521915
103,103,-138.11126341780857
104,104,-138.11124459840846
105,105,-138.11119847546934
106,106,-138.11117249282267
107,107,-138.11115095455216
108,108,-138.11114000151588
109,109,-138.11106943857214
110,110,-138.11086233541562
111,111,-138.1108130533463
112,112,-138.1107896652187
113,113,-138.11077846652415
114,114,-138.11057523420698
115,115,-138.110510335448
116,116,-138.1105081696004
117,117,-138.11032184764179
118,118,-138.11023705042476
119,119,-138.11009574839898
120,120,-138.10987878407468
121,121,-138.1098521021138
122,122,-138.10958853376576
123,123,-138.10945479698967
124,124,-138.10939803472354
125,125,-138.10933853436745
126,126,-138.1092938817328
127,127,-138.10891470982097
128,128,-138.1086412910887
129,129,-138.1084488214807
130,130,-138.10819194842327
131,131,-138.10793475037474
132,132,-138.10793435055177
133,133,-138.10780384825023
134,134,-138.10775427656063
135,135,-138.10773628723598
136,136,-138.1076781570357
137,137,-138.10764293567001
138,138,-138.10749264366018
139,139,-138.1074484392118
140,140,-138.1070501827013
141,141,-138.10700436371133
142,142,-138.10689984623275
143,143,-138.10657730376454
144,144,-138.10655909097693
145,145,-138.10653614793455
146,146,-138.10634649872486
147,147,-138.10602901643313
148,148,-138.10576025611078
149,149,-138.10545111603892
150,150,-138.10540347922176
151,151,-138.10425290258524
152,152,-138.10421621322735
153,153,-138.10368279429645
154,154,-138.10348115070212
155,155,-138.10318434856674
156,156,-138.10157760425318
157,157,-138.1014229318556
158,158,-138.100907383013
159,159,-138.10080098466665
160,160,-138.0992689185656
161,161,-138.0991377256147
162,162,-138.09872208706565
163,163,-138.09837551778185
164,164,-138.09792957191155
165,165,-138.0968687399461
166,166,-138.0965689985684
167,167,-138.09562151544253
168,168,-138.0955717745095
169,169,-138.09538791978764
170,170,-138.0952015820809
171,171,-138.09509867505096
172,172,-138.09505760687887
173,173,-138.09487948221795
174,174,-138.09464118833785
175,175,-138.09395553334707
176,176,-138.09312510470886
177,177,-138.09278071277993
178,178,-138.09263720567344
179,179,-138.09255698583763
180,180,-138.09206481554884
181,181,-138.0912038218887
182,182,-138.09111257633504
183,183,-138.0902655819317
184,184,-138.08979998287316
185,185,-138.08930055218127
186,186,-138.0883680460306
187,187,-138.08742606327507
188,188,-138.08730124091494
189,189,-138.08678782576078
190,190,-138.0859977896896
191,191,-138.0859677204627
192,192,-138.08565200124815
193,193,-138.08464650475707
194,194,-138.0844957380233
195,195,-138.08419242183402
196,196,-138.08380790922774
197,197,-138.08339609089012
198,198,-138.0831052195315
199,199,-138.0831039663442
200,200,-138.08279217829784
201,201,-138.0827585244806
202,202,-138.08274287208792
203,203,-138.0827030208527
204,204,-138.08250329821772
205,205,-138.08198128275183
206,206,-138.08195174220714
207,207,-138.08191220656124
208,208,-138.0818067055019
209,209,-138.0817117142352
210,210,-138.0816095005191
211,211,-138.08107717320763
212,212,-138.0807646727785
213,213,-138.08036800388868
214,214,-138.0801831977568
215,215,-138.0801659471506
216,216,-138.0794160934571
217,217,-138.07924715830893
218,218,-138.07924534460506
219,219,-138.07905274107293
220,220,-138.0788670558145
221,221,-138.07885740450558
222,222,-138.07885291955654
223,223,-138.07884345089212
224,224,-138.07880769846622
225,225,-138.0787751138363
226,226,-138.07864748348754
227,227,-138.07852762560344
228,228,-138.07848828295266
229,229,-138.07847469006276
230,230,-138.0783821277563
231,231,-138.0783283488487
232,232,-138.07816810379597
233,233,-138.07792396135096
234,234,-138.07778245290535
235,235,-138.07773057617453
236,236,-138.0777268648743
237,237,-138.0775036682743
238,238,-138.07723536142623
239,239,-138.07719815985035
240,240,-138.07714454938366
241,241,-138.0764547300688
242,242,-138.07636124336932
243,243,-138.07628509416725
244,244,-138.07625039624145
245,245,-138.0762186646565
246,246,-138.07620399245843
247,247,-138.0761894087616
248,248,-138.0761797676306
249,249,-138.0761252421446
250,250,-138.0760983352685
251,251,-138.07609060088146
252,252,-138.07597224595258
253,253,-138.0757777991655
254,254,-138.07570826594576
255,255,-138.07568386217997
256,256,-138.07565674248872
257,257,-138.07564723045857
258,258,-138.07563077555722
259,259,-138.0755840222406
260,260,-138.0755512558609
261,261,-138.07547365768835
262,262,-138.07539734184263
263,263,-138.075394820538
264,264,-138.0753917496187
265,265,-138.07538253945984
266,266,-138.0752727349161
267,267,-138.07519390512368
268,268,-138.075178713608
269,269,-138.0751643602082
270,270,-138.07504971074093
271,271,-138.0750155470888
272,272,-138.07496331059974
273,273,-138.0749371492219
274,274,-138.0749162268645
275,275,-138.074910609501
276,276,-138.07489496321477
277,277,-138.07486422209843
278,278,-138.07485726701339
279,279,-138.07482948166364
280,280,-138.0745975936975
281,281,-138.07455732866572
282,282,-138.0745245060283
283,283,-138.07451606364975
284,284,-138.0745144864983
285,285,-138.0745093451053
286,286,-138.0744502318879
287,287,-138.0744104963353
288,288,-138.07435761332113
289,289,-138.07428822753172
290,290,-138.07412950478192
291,291,-138.07407860655383
292,292,-138.07405862458052
293,293,-138.07385766342566
294,294,-138.0737696992568
295,295,-138.07362680750725
296,296,-138.07361168274906
297,297,-138.07357693851623
298,298,-138.07355721037175
299,299,-138.07343189057985
300,300,-138.07334357972684
301,301,-138.07333467254614
302,302,-138.07328175292446
303,303,-138.07311182939497
304,304,-138.0730227551021
305,305,-138.0729777561761
306,306,-138.07296538481103
307,307,-138.07295346612148
308,308,-138.0729443332176
309,309,-138.0729120526653
310,310,-138.0728161257142
311,311,-138.0724845611063
312,312,-138.07238078741898
313,313,-138.0723672222398
314,314,-138.07223532549574
315,315,-138.07223257897886
316,316,-138.07221304770042
317,317,-138.07213159630294
318,318,-138.07185262443738
319,319,-138.0717724997105
320,320,-138.07176377462008
321,321,-138.07165391157662
322,322,-138.0715159036489
323,323,-138.0714439870345
324,324,-138.07140377726512
325,325,-138.07114144478294
326,326,-138.0708666045722
327,327,-138.07086436694533
328,328,-138.07058256775497
329,329,-138.07040009956802
330,330,-138.0703583410227
331,331,-138.06997311191935
332,332,-138.06988905661797
333,333,-138.06986229025767
334,334,-138.06969006916393
335,335,-138.06938552223812
336,336,-138.06932682292495
337,337,-138.06927332762757
338,338,-138.06904142806866
339,339,-138.06888669264686
340,340,-138.06877054328118
341,341,-138.06873201037013
342,342,-138.0686883718023
343,343,-138.06866698370652
344,344,-138.0682899992704
345,345,-138.0678381860671
346,346,-138.06777199757732
347,347,-138.0677321372068
348,348,-138.06767514754677
349,349,-138.06760731796737
350,350,-138.06751570729944
351,351,-138.06745747771356
352,352,-138.06742795470905
353,353,-138.06727368181703
354,354,-138.0672069360262
355,355,-138.06716280731416
356,356,-138.06710910773666
357,357,-138.0670176034189
358,358,-138.06701299349197
359,359,-138.06700160925868
360,360,-138.0669817236817
361,361,-138.066930587819
362,362,-138.066925637949
363,363,-138.06689376213603
364,364,-138.06678236506718
365,365,-138.06666351157583
366,366,-138.06659027220235
367,367,-138.0663587712802
368,368,-138.066184990348
369,369,-138.0661772121955
370,370,-138.06615684926714
371,371,-138.06611098808173
372,372,-138.06610195120766
373,373,-138.06605950757387
374,374,-138.06604808396037
375,375,-138.06604200805907
376,376,-138.0659069104761
377,377,-138.06585224098774
378,378,-138.06579979505852
379,379,-138.06576389513964
380,380,-138.0657278348075
381,381,-138.06570870833605
382,382,-138.06561578986089
383,383,-138.06553550600222
384,384,-138.06549037217349
385,385,-138.06544981959746
386,386,-138.06534833617468
387,387,-138.0653157223619
388,388,-138.0651956388939
389,389,-138.0651867245441
390,390,-138.06515948681624
391,391,-138.06513323720856
392,392,-138.0650318842911
393,393,-138.06495700840537
394,394,-138.0649010257198
395,395,-138.06488875020568
396,396,-138.06481259015197
397,397,-138.06476614831604
398,398,-138.06458496829816
399,399,-138.06457672901558
400,400,-138.0644724194326
401,401,-138.0644509182266
402,402,-138.06442758797914
403,403,-138.06440228491374
404,404,-138.06435726665347
405,405,-138.06430868838174
406,406,-138.0642223425723
407,407,-138.06405814777463
408,408,-138.06396570376023
409,409,-138.0639621827114
410,410,-138.06391501887924
411,411,-138.06390779595165
412,412,-138.06390141270913
413,413,-138.06379215887875
414,414,-138.06374466658997
415,415,-138.0636701416446
416,416,-138.06363968102482
417,417,-138.0635984930541
418,418,-138.06355085653036
419,419,-138.06354261992408
420,420,-138.0635215591093
421,421,-138.06342776615236
422,422,-138.06340529008196
423,423,-138.06339249961695
424,424,-138.06339194346583
425,425,-138.0633202382445
426,426,-138.06325361000336
427,427,-138.0632364055756
428,428,-138.06322886874716
429,429,-138.0631771303049
430,430,-138.06317072625222
431,431,-138.063164544213
432,432,-138.0631336595619
433,433,-138.06312109030284
434,434,-138.06306460714382
435,435,-138.0630615578783
436,436,-138.0630318239074
437,437,-138.06300931191254
438,438,-138.06299715811053
439,439,-138.06293502905373
440,440,-138.0629278962998
441,441,-138.06291398165786
442,442,-138.06289150778844
