,index,hotbit
0,0,-45.99997727505888
1,1,-45.99996163036906
2,2,-45.99979324398515
3,3,-45.990603387268834
4,4,-45.99055059060561
5,5,-45.990227266721206
6,6,-45.973627934203705
7,7,-45.972942296457404
8,8,-45.97264140028352
9,9,-45.969753390578205
10,10,-45.969667369000604
11,11,-45.96936838361893
12,12,-45.96785420199569
13,13,-45.96770319719957
14,14,-45.96766487787386
15,15,-45.96698466119159
16,16,-45.966261295320294
17,17,-45.964265681771906
18,18,-45.961417980910085
19,19,-45.96140411178726
20,20,-45.96105276669584
21,21,-45.94977487816516
22,22,-45.94976695300585
23,23,-45.94688698809222
24,24,-45.94661390977757
25,25,-45.946148694777435
26,26,-45.94378774987706
27,27,-45.94023798242927
28,28,-45.93992398696213
29,29,-45.93969628896542
30,30,-45.93510264694754
31,31,-45.93484944218227
32,32,-45.934715827042965
33,33,-45.91881614245193
34,34,-45.91818704204405
35,35,-45.917631297640696
36,36,-45.89816119622316
37,37,-45.891029322653026
38,38,-45.890936805488195
39,39,-45.89033708031991
40,40,-45.880907684950955
41,41,-45.880385122091184
42,42,-45.87988292806767
43,43,-45.86345510874838
44,44,-45.86317367292378
45,45,-45.83971290721979
46,46,-45.839198302160014
47,47,-45.83812893022923
48,48,-45.83697940350197
49,49,-45.83622853782117
50,50,-45.83467996626064
