,index,hotbit
0,0,-80.0787546060518
1,1,-80.07854531287336
2,2,-80.04503221982787
3,3,-80.03936941338975
4,4,-80.03815762648856
5,5,-80.03537152572636
6,6,-80.03193421704083
7,7,-80.03145240008496
8,8,-80.03143216546147
9,9,-80.03019815140095
10,10,-80.02709198634932
11,11,-80.02704727793741
12,12,-80.02605628070006
13,13,-80.02573082932071
14,14,-80.02368854039008
15,15,-80.02057740167407
16,16,-80.01552513602468
17,17,-80.01340745275866
18,18,-80.01232073222826
19,19,-80.0092771894806
20,20,-80.00199740207921
21,21,-79.99899169489589
22,22,-79.99686996280059
23,23,-79.99557934111516
24,24,-79.99250250478678
25,25,-79.98524200968473
26,26,-79.98001755890039
27,27,-79.97978583335885
28,28,-79.97365911657135
29,29,-79.97283313414886
30,30,-79.96461125232793
31,31,-79.96301620619971
32,32,-79.96003608082157
33,33,-79.95977470651422
34,34,-79.9584641699978
35,35,-79.95456592343618
36,36,-79.95182713294537
37,37,-79.95176775456571
38,38,-79.9517010550905
39,39,-79.94983872052012
40,40,-79.94837619506751
41,41,-79.94740699739674
42,42,-79.94725754014064
43,43,-79.947168917216
44,44,-79.94535651049733
45,45,-79.94520875720286
46,46,-79.93674675034072
47,47,-79.9364300693922
48,48,-79.93161384018657
49,49,-79.92966365899986
50,50,-79.92962725283053
51,51,-79.9287009460146
52,52,-79.92806835038874
53,53,-79.92761295746828
54,54,-79.92647965529846
55,55,-79.92225672951554
56,56,-79.92216865996949
57,57,-79.92069610032615
58,58,-79.92011911148438
59,59,-79.91899557377258
60,60,-79.91814037598124
61,61,-79.9116820630565
62,62,-79.91158337551724
63,63,-79.90927523708785
64,64,-79.90902368421592
65,65,-79.90505851932073
66,66,-79.90335803733063
67,67,-79.9024703345761
68,68,-79.89517016130225
69,69,-79.89473815268764
70,70,-79.89385666636935
71,71,-79.88915241768183
72,72,-79.88825937739978
73,73,-79.88591677612573
74,74,-79.88435634330767
75,75,-79.88398315789414
76,76,-79.87917450884021
77,77,-79.87724946958133
78,78,-79.87432651443845
79,79,-79.87236263618689
80,80,-79.86305899611551
81,81,-79.86190896811524
82,82,-79.85846372074377
83,83,-79.8570289797945
84,84,-79.85071377880979
85,85,-79.84230887822525
86,86,-79.84145351890243
87,87,-79.84079928233575
88,88,-79.83402872872921
89,89,-79.8330557237374
90,90,-79.8231071349785
91,91,-79.82171132326516
92,92,-79.82108093888922
93,93,-79.81591937576991
94,94,-79.81411851699926
95,95,-79.81086973229344
96,96,-79.80841765233208
97,97,-79.80680289257111
98,98,-79.805791919395
99,99,-79.79874806698444
100,100,-79.78710311519052
101,101,-79.78664688310477
102,102,-79.78256739972034
103,103,-79.78042842629316
104,104,-79.7783920901557
105,105,-79.7781433241235
106,106,-79.77660289232534
107,107,-79.77076654324276
108,108,-79.76993653296802
109,109,-79.76782468763469
110,110,-79.7669013510191
111,111,-79.76591640652356
112,112,-79.76501364292807
113,113,-79.75628814404871
114,114,-79.75105607858694
115,115,-79.74943209196829
116,116,-79.74583862508149
117,117,-79.72679865704157
118,118,-79.7266547334055
119,119,-79.71955761959049
120,120,-79.71453695243525
121,121,-79.7070374086573
122,122,-79.70582441711105
123,123,-79.70507054917579
124,124,-79.6745054977086
125,125,-79.6726290682492
126,126,-79.6670192554281
127,127,-79.66081449739994
128,128,-79.65671493141463
129,129,-79.64175523523477
130,130,-79.63717408430841
131,131,-79.63502403969301
132,132,-79.63426524566995
133,133,-79.63172304037431
134,134,-79.62873361355247
135,135,-79.62751551741303
136,136,-79.60433118488527
137,137,-79.59476889902862
138,138,-79.5752143338587
139,139,-79.54475909646237
