,index,hotbit
0,0,-79.13111681010338
1,1,-79.10082930294402
2,2,-79.0967020852604
3,3,-79.08869923405342
4,4,-79.07087701542679
5,5,-79.04554395084818
6,6,-79.04532138134613
7,7,-79.03957499085362
8,8,-79.02587921164098
9,9,-79.02400904951497
10,10,-79.01773835422085
11,11,-79.01763495233553
12,12,-79.01195057211231
13,13,-79.00338352071503
14,14,-79.00330731280275
15,15,-78.99560350557493
16,16,-78.99488817002805
17,17,-78.99254062453605
18,18,-78.98781662767607
19,19,-78.97358389410789
20,20,-78.97221878298905
21,21,-78.95888782183636
22,22,-78.94696141308572
23,23,-78.90757892858403
24,24,-78.88338125567532
25,25,-78.87309240218883
26,26,-78.55384288835825
27,27,-78.55322041806437
28,28,-78.54045460263063
29,29,-78.53503383627526
30,30,-78.51525116360853
31,31,-78.50984800739957
32,32,-78.50748088575551
33,33,-78.50451989697609
34,34,-78.49811117863737
35,35,-78.49347216338305
36,36,-78.48201331053991
37,37,-78.4744959604007
38,38,-78.47405358133369
39,39,-78.46692946475497
40,40,-78.46280726073945
41,41,-78.46088893121129
42,42,-78.4523026629027
43,43,-78.44776822886837
44,44,-78.43697701926033
45,45,-78.43627252924927
46,46,-78.43433973446042
47,47,-78.43355618301479
48,48,-78.43175571343579
49,49,-78.42941130793224
50,50,-78.4293288104796
51,51,-78.42804940225949
52,52,-78.4262999477499
53,53,-78.42495058158119
54,54,-78.4226915040137
55,55,-78.42073827215728
56,56,-78.41598433340585
57,57,-78.41497800141013
58,58,-78.40826460441349
59,59,-78.4047639071648
60,60,-78.40323054840024
61,61,-78.39814188178934
62,62,-78.39556796463188
63,63,-78.39128622510447
64,64,-78.38642865880536
65,65,-78.38027194753522
66,66,-78.37882983402318
67,67,-78.37692955709377
68,68,-78.37521341010944
69,69,-78.36993425519717
70,70,-78.36872612064991
71,71,-78.36539212189541
72,72,-78.36321209193778
73,73,-78.36061228742773
74,74,-78.35838434983867
75,75,-78.35490751080738
76,76,-78.35477043948657
77,77,-78.35216236144964
78,78,-78.34072357585819
79,79,-78.33770977406306
80,80,-78.3355480675715
81,81,-78.33546476196176
82,82,-78.32726330722988
83,83,-78.32556033356292
84,84,-78.31263572300679
85,85,-78.31130853344092
86,86,-78.2936460996196
87,87,-78.29259084558919
88,88,-78.28454364582262
89,89,-78.27997416936063
90,90,-78.27552863526142
91,91,-78.27410635158225
92,92,-78.2540095270844
93,93,-78.24632623339568
94,94,-78.2334354167503
95,95,-78.19379337700013
96,96,-78.19216467643793
97,97,-78.19064522163427
98,98,-78.15873828705713
99,99,-77.92977665898712
100,100,-77.92559582962241
101,101,-77.92538624122443
102,102,-77.88400644665165
103,103,-77.88215756021037
104,104,-77.87039545500483
105,105,-77.86075037100653
106,106,-77.84598491275574
107,107,-77.82652088436606
108,108,-77.82541949251174
109,109,-77.80677318547743
110,110,-77.80361231494192
111,111,-77.79893658681772
112,112,-77.79753882197127
113,113,-77.78856245786352
114,114,-77.78211690467191
115,115,-77.78204361684186
116,116,-77.7701618907908
117,117,-77.76810164778777
118,118,-77.76203762138499
119,119,-77.7407578663096
120,120,-77.73635807998181
121,121,-77.7351198276366
122,122,-77.73007235333853
123,123,-77.72162041356154
124,124,-77.72119162244712
125,125,-77.71769218776632
126,126,-77.71340208085547
127,127,-77.70419988270697
128,128,-77.70219230871652
129,129,-77.69647534635061
130,130,-77.69559309795358
131,131,-77.68773975876417
132,132,-77.6850264800093
133,133,-77.68183959778531
134,134,-77.68021964386884
135,135,-77.66871429598814
136,136,-77.66694959373103
137,137,-77.66443129604193
138,138,-77.66334728596212
139,139,-77.6610762491581
140,140,-77.66031464135642
141,141,-77.65928654624713
142,142,-77.65729599930035
143,143,-77.65257766241581
144,144,-77.65167902429567
145,145,-77.65039915010976
146,146,-77.64971117685951
147,147,-77.64318368121246
148,148,-77.63654410327632
149,149,-77.6326419643014
150,150,-77.63233075489086
151,151,-77.62691310903489
152,152,-77.62365389116815
153,153,-77.61566964713319
154,154,-77.61565048670286
155,155,-77.61136061741075
156,156,-77.61047081685456
157,157,-77.60741343051006
158,158,-77.60340852709692
159,159,-77.6032073519234
160,160,-77.60320302626388
161,161,-77.59504392663331
162,162,-77.56599761393392
163,163,-77.54715655870677
164,164,-77.5464929801023
165,165,-77.51720970745583
166,166,-77.51606675748269
167,167,-77.47317777988087
168,168,-77.45905010543788
169,169,-77.42170895208858
170,170,-77.38486615820153
171,171,-77.38108669903028
172,172,-77.33823884636149
173,173,-77.3203657444858
174,174,-77.31392109202557
175,175,-77.28466776408402
176,176,-77.26666715769397
