,index,hotbit
0,0,-96.84111348721922
1,1,-96.81452153305383
2,2,-96.8112532528994
3,3,-96.80665937468848
4,4,-96.80637370769796
5,5,-96.80590004179112
6,6,-96.80512715303837
7,7,-96.79573799878415
8,8,-96.79081523054231
9,9,-96.78771654067134
10,10,-96.78547997088117
11,11,-96.7819675795223
12,12,-96.77065437638714
13,13,-96.76727155853746
14,14,-96.76560059258634
15,15,-96.76396475206434
16,16,-96.76221728529652
17,17,-96.76107364156235
18,18,-96.76092888610015
19,19,-96.76019419996521
20,20,-96.75832664308814
21,21,-96.75808625655884
22,22,-96.75622527872429
23,23,-96.75280671781752
24,24,-96.75138480158728
25,25,-96.7513162495236
26,26,-96.74951047702757
27,27,-96.74827204060728
28,28,-96.73898583706148
29,29,-96.73716293414327
30,30,-96.73705065833815
31,31,-96.73677383809206
32,32,-96.72948262789055
33,33,-96.72508180588886
34,34,-96.72202683741568
35,35,-96.72136992497201
36,36,-96.7176344656524
37,37,-96.71572466326461
38,38,-96.71485620961505
39,39,-96.71227153653354
40,40,-96.7115454497416
41,41,-96.71082144626553
42,42,-96.70949568695926
43,43,-96.70869262956876
44,44,-96.7085551916324
45,45,-96.70615017501916
46,46,-96.704728376807
47,47,-96.7033789680379
48,48,-96.70297545148867
49,49,-96.69569305735854
50,50,-96.69558704154292
51,51,-96.69133965495564
52,52,-96.69078099834962
53,53,-96.69026884934397
54,54,-96.68564336268548
55,55,-96.68450367520165
56,56,-96.68134334016725
57,57,-96.68065249959989
58,58,-96.67941127988604
59,59,-96.67543591027902
60,60,-96.67528595636588
61,61,-96.67476819274611
62,62,-96.67314436619154
63,63,-96.67230840443256
64,64,-96.67022598060191
65,65,-96.66799368212844
66,66,-96.66734344765723
67,67,-96.66440214620684
68,68,-96.66312779744521
69,69,-96.66308979918983
70,70,-96.65911086857034
71,71,-96.65683658616729
72,72,-96.65519856737274
73,73,-96.65476003145795
74,74,-96.65315898381141
75,75,-96.65305676360788
76,76,-96.6529439966697
77,77,-96.65159251442594
78,78,-96.64881877788673
79,79,-96.64744065792081
80,80,-96.64675109749862
81,81,-96.64572738623099
82,82,-96.64148380417464
83,83,-96.63798904894395
84,84,-96.63794221995408
85,85,-96.63582452075718
86,86,-96.63135510002144
87,87,-96.63056049264947
88,88,-96.62668132558531
89,89,-96.62663810101571
90,90,-96.62508336637495
91,91,-96.62391580379597
92,92,-96.62312822933757
93,93,-96.62289442333758
94,94,-96.62061596075148
95,95,-96.61865204102628
96,96,-96.61732462718976
97,97,-96.61394515265295
98,98,-96.61215794538657
99,99,-96.61150001719523
100,100,-96.6083588801223
101,101,-96.60742599122909
102,102,-96.60701736237581
103,103,-96.606444412732
104,104,-96.59937708267432
105,105,-96.59868375861572
106,106,-96.59794016154024
107,107,-96.59644451883071
108,108,-96.59635474750019
109,109,-96.59404406440513
110,110,-96.58932417073049
111,111,-96.58329832179277
112,112,-96.57958503129748
113,113,-96.5768435675435
114,114,-96.57629200161159
115,115,-96.57509500387255
116,116,-96.57319605962084
117,117,-96.57300534050432
118,118,-96.57071271350867
119,119,-96.56984597337794
120,120,-96.56932713134086
121,121,-96.56744478405199
122,122,-96.56678739068138
123,123,-96.56669533626098
124,124,-96.56553535567889
125,125,-96.56346629296331
126,126,-96.56185496106752
127,127,-96.56150855433168
128,128,-96.56086419245923
129,129,-96.56038597377221
130,130,-96.55544565256844
131,131,-96.54621806033913
132,132,-96.54430257242996
133,133,-96.53522874080147
134,134,-96.52847249947934
135,135,-96.52405125217672
136,136,-96.52392358684074
137,137,-96.52281527721664
138,138,-96.52280161086753
139,139,-96.52278265643179
140,140,-96.52100525304468
141,141,-96.52058415890792
142,142,-96.51840450502425
143,143,-96.51749154188337
144,144,-96.51643740879354
145,145,-96.51602493663654
146,146,-96.5099573173884
147,147,-96.50285756564665
148,148,-96.4978955952896
149,149,-96.49031527576938
150,150,-96.4880668807383
151,151,-96.48652288428912
152,152,-96.48387758785373
153,153,-96.48174759702533
154,154,-96.48172123428662
155,155,-96.47603640263242
