,index,hotbit,gaussian
0,0.0,-2252.118918307424,-219552.84927056488
1,1.0,-2251.500500768694,-219552.4913459152
2,2.0,-2251.4244942534747,-219552.52248080337
3,3.0,-2251.3176598764767,-219547.97292690698
4,4.0,-2251.3110164580917,-219548.59182773333
5,5.0,-2251.300000971887,-219552.4913459152
6,6.0,-2251.282026814846,-219552.02046237237
7,7.0,-2251.0636743903297,-219557.62189454437
8,8.0,-2250.9491914079613,-219553.10885453105
9,9.0,-2250.8771288528224,-219551.41383831092
10,10.0,-2250.8251156018873,-219552.4913459152
11,11.0,-2250.7434320819143,-219557.62189454437
12,12.0,-2250.4803343345848,-219552.84927056488
13,13.0,-2250.401664152034,-219551.99154236447
14,14.0,-2250.3628044787524,-219552.4913459152
15,15.0,-2250.324761675915,-219552.4913459152
16,16.0,-2250.2841229138726,-219552.4913459152
17,17.0,-2250.2575265479622,-219556.59931597047
18,18.0,-2250.2541601418643,-219551.07167095222
19,19.0,-2250.2370744177956,-219556.59931597047
20,20.0,-2250.1936428625154,-219552.52248080337
21,21.0,-2250.1880524781127,-219552.4913459152
22,22.0,-2250.1447739238206,-219552.4913459152
23,23.0,-2250.065272507384,-219557.62189454437
24,24.0,-2250.0322046880765,-219551.41383831092
25,25.0,-2250.0306104540373,-219557.62189454437
26,26.0,-2249.9886157448273,-219552.84927056488
27,27.0,-2249.959814897844,-219552.08488374675
28,28.0,-2249.7438566758483,-219552.52248080337
29,29.0,-2249.701463584727,-219556.59931597047
30,30.0,-2249.6988525194924,-219552.4913459152
31,30.999999999999996,-2249.6924148393505,-219552.84927056488
32,32.0,-2249.5228518114086,-219551.07167095222
33,33.0,-2249.420507113695,-219556.29094135627
34,34.0,-2249.349461335249,-219551.41383831092
35,35.0,-2249.3341843016747,-219553.10885453105
36,36.0,-2249.247313154707,-219552.84927056488
37,37.0,-2249.2028991456887,-219552.52248080337
38,38.0,-2249.182702549187,-219553.10885453105
39,39.0,-2249.1225938728735,-219557.62189454437
40,40.0,-2249.1057081335257,-219557.62189454437
41,41.0,-2249.088870843384,-219556.29094135627
42,42.0,-2249.058039231611,-219551.07167095222
43,43.0,-2249.0393634783436,-219556.59931597047
44,44.0,-2249.0361672472654,-219552.4913459152
45,45.0,-2248.9802366283525,-219551.07167095222
46,46.0,-2248.947171553651,-219552.4913459152
47,46.99999999999999,-2248.91578995437,-219552.4913459152
48,48.0,-2248.906405848574,-219556.29094135627
49,49.0,-2248.7370478455477,
50,50.0,-2248.7345823614637,
51,50.99999999999999,-2248.635805929201,
52,52.0,-2248.6228139151076,
53,53.0,-2248.6109034731153,
54,54.0,-2248.503334015942,
55,55.00000000000001,-2248.4768296558523,
56,56.0,-2248.4033334922615,
57,57.0,-2248.3872674325553,
58,58.0,-2248.3584018578154,
59,59.00000000000001,-2248.2659514018374,
60,60.0,-2248.262464101532,
61,61.0,-2248.2504230871195,
62,61.99999999999999,-2248.212659678873,
63,63.00000000000001,-2248.1932187077346,
64,64.0,-2248.1447902465566,
65,65.0,-2248.0928763285683,
66,66.0,-2248.0777545966803,
67,67.0,-2248.0093522373686,
68,68.0,-2247.979716219656,
69,69.0,-2247.9788325392988,
70,70.0,-2247.8862992690783,
71,71.0,-2247.8334089806344,
72,72.0,-2247.7953155202963,
73,73.0,-2247.78511701065,
74,74.0,-2247.747883344451,
75,75.0,-2247.745506130416,
76,76.0,-2247.7428836434815,
77,77.0,-2247.7114538238593,
78,78.0,-2247.646948322947,
79,79.0,-2247.614899021414,
80,80.0,-2247.5988627325264,
81,81.0,-2247.5750554937445,
82,82.0,-2247.476367538945,
83,83.0,-2247.3950941614876,
84,84.0,-2247.3940051152113,
85,85.0,-2247.344756296679,
86,86.0,-2247.2408162795687,
87,87.0,-2247.2223370383604,
88,88.0,-2247.1321238508212,
89,89.0,-2247.131118628273,
90,90.0,-2247.09496200872,
91,91.00000000000001,-2247.0678093906035,
92,92.0,-2247.0494937055246,
93,93.0,-2247.0440563566876,
94,93.99999999999999,-2246.9910688546856,
95,95.0,-2246.945396302937,
96,96.0,-2246.914526213716,
97,97.0,-2246.835933782627,
98,98.0,-2246.794370822943,
99,99.00000000000001,-2246.779070167331,
100,100.0,-2246.7060204679606,
101,101.0,-2246.6843253774205,
102,101.99999999999999,-2246.6748223808327,
103,103.0,-2246.6614979705114,
104,104.0,-2246.497141457542,
105,105.0,-2246.481017642226,
106,106.0,-2246.4637246869825,
107,107.00000000000001,-2246.428942298389,
108,108.0,-2246.4268545930286,
109,109.0,-2246.373117776863,
110,110.00000000000001,-2246.263352807686,
111,111.0,-2246.1232167858784,
112,112.0,-2246.0368611929653,
113,112.99999999999999,-2245.973106221942,
114,114.0,-2245.9602791072466,
115,115.0,-2245.9324419505247,
116,116.0,-2245.8882804562986,
117,117.0,-2245.8838451280076,
118,118.00000000000001,-2245.830528221132,
119,119.0,-2245.810371473906,
120,120.0,-2245.7983053800203,
121,120.99999999999999,-2245.754529861674,
122,122.0,-2245.7392416437533,
123,123.0,-2245.737100843279,
124,123.99999999999999,-2245.710124550672,
125,125.0,-2245.6620068131006,
126,126.00000000000001,-2245.6245339783145,
127,127.0,-2245.616478007714,
128,128.0,-2245.6014928478894,
129,129.0,-2245.5903714830747,
130,130.0,-2245.4754802922894,
131,131.0,-2245.260885124166,
132,132.0,-2245.21633889372,
133,133.0,-2245.005319553523,
134,134.0,-2244.8481976623107,
135,135.0,-2244.745377957598,
136,136.0,-2244.742408996296,
137,137.0,-2244.7166343538756,
138,138.0,-2244.716316531803,
139,139.0,-2244.715875730972,
140,140.0,-2244.674540768481,
141,141.0,-2244.66474788158,
142,142.0,-2244.6140582563776,
143,143.0,-2244.592826555427,
144,144.0,-2244.568311832408,
145,145.0,-2244.5587194566638,
146,146.0,-2244.4176120322886,
147,147.0,-2244.2525015266665,
148,148.0,-2244.1371068672,
149,149.0,-2243.9608203667294,
150,150.0,-2243.9085321101934,
151,151.0,-2243.8726252160263,
152,152.0,-2243.8111066942724,
153,153.0,-2243.761572023845,
154,154.0,-2243.7609589368985,
155,155.0,-2243.6287535495917,
