,index,hotbit
0,0,-63.88542432413652
1,1,-63.87752429033725
2,2,-63.87576317326199
3,3,-63.8482965703389
4,4,-63.83856968781896
5,5,-63.83777155708873
6,6,-63.83352504252514
7,7,-63.830071012938106
8,8,-63.82600352226666
9,9,-63.82064359214587
10,10,-63.81677337785368
11,11,-63.81012287393827
12,12,-63.802453175693756
13,13,-63.80086655166076
14,14,-63.799133099391554
15,15,-63.79521609325917
16,16,-63.79237275730475
17,17,-63.790892299267966
18,18,-63.789732603144785
19,19,-63.787823502606216
20,20,-63.78528494791237
21,21,-63.78482302614856
22,22,-63.784193074093594
23,23,-63.78174836802481
24,24,-63.7764934231825
25,25,-63.7713493873311
26,26,-63.77017880161418
27,27,-63.7631390046335
28,28,-63.7448400324937
29,29,-63.73990906085902
30,30,-63.727629260158096
31,31,-63.72582312624877
32,32,-63.723408490395684
33,33,-63.7100390726614
