,index,hotbit
0,0,-106.58345688426687
1,1,-106.50504210789882
2,2,-106.47297248595021
3,3,-106.46911717215517
4,4,-106.46160676663806
5,5,-106.45737206130048
6,6,-106.36761790558842
7,7,-106.35348993230912
8,8,-106.34506165337507
9,9,-106.34351231262451
10,10,-106.3369726008948
11,11,-106.33447048616688
12,12,-106.31860150963689
13,13,-106.3153673184039
14,14,-106.31473822716566
15,15,-106.31397766372413
16,16,-106.31091877916651
17,17,-106.30685960000983
18,18,-106.30447362014434
19,19,-106.30292044189457
20,20,-106.29919838239755
21,21,-106.29387348312446
22,22,-106.2929910825826
23,23,-106.28937734639851
24,24,-106.28873682265225
25,25,-106.28633183766954
26,26,-106.28259362255142
27,27,-106.2793422215068
28,28,-106.27802545357474
29,29,-106.27207776075113
30,30,-106.26993656643594
31,31,-106.26958441268084
32,32,-106.26954788667388
33,33,-106.268468394396
34,34,-106.26826659651658
35,35,-106.26768315309221
36,36,-106.2617963770299
37,37,-106.25945280562985
38,38,-106.25842597348662
39,39,-106.25799592738508
40,40,-106.25691081376158
41,41,-106.25420501831479
42,42,-106.25375555747155
43,43,-106.24877766155691
44,44,-106.2475616350381
45,45,-106.24615266999626
46,46,-106.2456586833631
47,47,-106.24501166623975
48,48,-106.24413122590636
49,49,-106.24220018594383
50,50,-106.23800747495466
51,51,-106.23507432273436
52,52,-106.23440345653023
53,53,-106.23198932125172
54,54,-106.23148395628027
55,55,-106.23125235714667
56,56,-106.22708107538881
57,57,-106.22677159688942
58,58,-106.2253364529048
59,59,-106.21920213351564
60,60,-106.21856885128886
61,61,-106.21827895978754
62,62,-106.21800262750162
63,63,-106.21797360025914
64,64,-106.21771353433019
65,65,-106.21483674076717
66,66,-106.20979843566113
67,67,-106.20560794931089
68,68,-106.20526982476542
69,69,-106.2046359921253
70,70,-106.20111869082882
71,71,-106.19813694375216
72,72,-106.19545457611093
73,73,-106.19539550786465
74,74,-106.19521278014872
75,75,-106.19473706949873
76,76,-106.19449175768023
77,77,-106.19318463164598
78,78,-106.1904728572921
79,79,-106.18914995665182
80,80,-106.18855835146098
81,81,-106.18845524889196
82,82,-106.1883193480952
83,83,-106.18784675576023
84,84,-106.18686600437172
85,85,-106.1860560627772
86,86,-106.18494863182184
87,87,-106.1848013235392
88,88,-106.18429774047172
89,89,-106.1837028394408
90,90,-106.18308798456746
91,91,-106.1828959921769
92,92,-106.18178671943497
93,93,-106.18159986250828
94,94,-106.17952209887721
95,95,-106.17940949293734
96,96,-106.17832825251946
97,97,-106.1780688813135
98,98,-106.17800141805265
99,99,-106.17799740570581
100,100,-106.17756548791385
101,101,-106.17552609050381
102,102,-106.17417627633029
103,103,-106.17267242921116
104,104,-106.17165862064428
105,105,-106.17146151570819
106,106,-106.17119495397185
107,107,-106.17103934659656
108,108,-106.17093206658194
109,109,-106.17082692141378
110,110,-106.17022971850395
