,index,hotbit
0,0,-46.05052457140698
1,1,-46.05028377436986
2,2,-46.050247907423966
3,3,-46.011713214932456
4,4,-46.01150867693957
5,5,-46.01139106302031
6,6,-46.01118200289267
7,7,-46.011139812713964
8,8,-46.011108615739204
9,9,-45.99410245182082
10,10,-45.99394066456688
11,11,-45.99382064575036
12,12,-45.98059986835216
13,13,-45.98057972153748
14,14,-45.98051495724684
15,15,-45.97800981756319
16,16,-45.977838862417855
17,17,-45.97723182923363
18,18,-45.97642991144431
19,19,-45.976412486704476
20,20,-45.96740080158588
21,21,-45.96448759289075
22,22,-45.96378597713141
23,23,-45.96346084453495
24,24,-45.961782949945814
25,25,-45.96155932285245
26,26,-45.961515119403145
27,27,-45.95135551374182
28,28,-45.951326541878075
29,29,-45.95123920106653
30,30,-45.94976736530816
31,31,-45.94969027427828
32,32,-45.949601499250605
33,33,-45.94162917441906
34,34,-45.94145829407864
35,35,-45.94127048895422
36,36,-45.938690503852
37,37,-45.934884456638144
38,38,-45.934808530553255
39,39,-45.934631562095205
40,40,-45.93001169318143
41,41,-45.92960543894145
42,42,-45.92904763614308
43,43,-45.90913196096534
44,44,-45.90911822007928
45,45,-45.90893802321932
46,46,-45.90335380300269
47,47,-45.89571279315351
48,48,-45.89038419484507
49,49,-45.82922295251967
50,50,-45.82913309193947
51,51,-45.82905690771719
