,index,hotbit
0,0,-80.10059757857181
1,1,-80.09991309331463
2,2,-80.09304944381313
3,3,-80.08516854499885
4,4,-80.07870920594377
5,5,-80.06198538557408
6,6,-80.05999649854618
7,7,-80.05922151690191
8,8,-80.05841886650205
9,9,-80.05580182810422
10,10,-80.05557243680113
11,11,-80.05544810541886
12,12,-80.05500275956211
13,13,-80.05437354174012
14,14,-80.05193082350166
15,15,-80.05110604715719
16,16,-80.0488930507293
17,17,-80.04613097034189
18,18,-80.04480510128639
19,19,-80.04218334296809
20,20,-80.04201792747261
21,21,-80.04173701487088
22,22,-80.04120163737014
23,23,-80.04076469988934
24,24,-80.04017758460816
25,25,-80.04006113924271
26,26,-80.03267059412707
27,27,-80.03169116418348
28,28,-80.03062511611006
29,29,-80.02941301389251
30,30,-80.02936627627764
31,31,-80.0280899471037
32,32,-80.02735969817837
33,33,-80.02539169884415
34,34,-80.02447290492455
35,35,-80.02187953642743
36,36,-80.02052660395901
37,37,-80.01895374537668
38,38,-80.017279893281
39,39,-80.01443406689827
40,40,-80.01309628462315
41,41,-80.01176295140021
42,42,-80.00989048501924
43,43,-80.00847310903112
44,44,-80.0083220255496
45,45,-80.00666676945156
46,46,-80.00127446127266
47,47,-80.00107901083715
48,48,-80.00050015643387
49,49,-80.00022545398889
50,50,-79.99857893906085
51,51,-79.99711375011896
52,52,-79.9956092568824
53,53,-79.99164221226346
54,54,-79.98965100316934
55,55,-79.98704701362641
56,56,-79.98598187366588
57,57,-79.9855160333845
58,58,-79.98246082548616
59,59,-79.9778380419711
60,60,-79.97665300055559
61,61,-79.97506570826721
62,62,-79.9686455356416
63,63,-79.96759966058403
64,64,-79.96588833676503
65,65,-79.9656828192193
66,66,-79.96492655066305
67,67,-79.96342329310755
68,68,-79.96189125004673
69,69,-79.95917546052851
70,70,-79.9555624596805
71,71,-79.95424162901696
72,72,-79.95336977502751
73,73,-79.95196658673098
74,74,-79.94955475309968
75,75,-79.94498903972249
76,76,-79.94361580833953
77,77,-79.94322339612069
78,78,-79.94231854477584
79,79,-79.94120568359205
80,80,-79.93984249992747
81,81,-79.93955107593217
82,82,-79.93937935255593
83,83,-79.93847451080592
84,84,-79.93771107377529
85,85,-79.93760551225131
86,86,-79.92874972826581
87,87,-79.92824773303909
88,88,-79.92422827825442
89,89,-79.92360711549105
90,90,-79.9221073371952
91,91,-79.90522094496981
92,92,-79.89916741853443
93,93,-79.89394249570756
94,94,-79.87530124675737
95,95,-79.8726975962499
96,96,-79.87220434060339
97,97,-79.87166372062251
98,98,-79.86762342763149
99,99,-79.86057792987822
100,100,-79.85922129772064
101,101,-79.85820884180959
102,102,-79.85623155666991
103,103,-79.85377638393709
104,104,-79.8297308305194
105,105,-79.82657686944776
106,106,-79.80398837687557
107,107,-79.80314560338621
108,108,-79.79962617393852
109,109,-79.79911396310274
110,110,-79.79087812409563
111,111,-79.78979867823358
112,112,-79.78197558625669
113,113,-79.77914248614769
114,114,-79.76697191214379
115,115,-79.75197391831375
116,116,-79.74428720978233
117,117,-79.73533120092918
118,118,-79.73004215262353
119,119,-79.71689839769527
120,120,-79.71394856229193
121,121,-79.68121436908251
122,122,-79.65596932861126
123,123,-79.6179254563304
124,124,-79.59954086617518
