,index,hotbit
0,0,-80.07439134284971
1,1,-80.06738659446313
2,2,-80.05927860604538
3,3,-80.05884783651743
4,4,-80.05632593927982
5,5,-80.05192401883323
6,6,-80.04783301769146
7,7,-80.04127376286954
8,8,-80.03604318671717
9,9,-80.03404920434934
10,10,-80.03134558824314
11,11,-80.02637537232584
12,12,-80.02527224635435
13,13,-80.0244942223328
14,14,-80.02322136304855
15,15,-80.02184020156938
16,16,-80.01891104314115
17,17,-80.01868171360582
18,18,-80.01611154704182
19,19,-80.01545480430974
20,20,-80.01395720739134
21,21,-80.01273229469268
22,22,-80.0115834294478
23,23,-80.0112201414708
24,24,-80.01032077814051
25,25,-80.0089768375754
26,26,-80.00887314259245
27,27,-80.00745559668167
28,28,-80.0072917226658
29,29,-80.00720540474845
30,30,-80.00573677182376
31,31,-80.00510203151362
32,32,-80.00154132908574
33,33,-79.9984507063972
34,34,-79.99656121294862
35,35,-79.99606739288367
36,36,-79.99408776960814
37,37,-79.99406631694166
38,38,-79.99285822505169
39,39,-79.99038811323584
40,40,-79.98863753877731
41,41,-79.98657850173902
42,42,-79.98648376089801
43,43,-79.98531163769132
44,44,-79.98260209502439
45,45,-79.98018773472614
46,46,-79.97899154794823
47,47,-79.97812343093852
48,48,-79.97728650588658
49,49,-79.9750656692076
50,50,-79.97234773391722
51,51,-79.97105223775861
52,52,-79.97009592761611
53,53,-79.96281903299018
54,54,-79.96232991466707
55,55,-79.96136501856068
56,56,-79.95905574018275
57,57,-79.95899413538933
58,58,-79.95817559911228
59,59,-79.95478844698988
60,60,-79.95148272424188
61,61,-79.94887940904079
62,62,-79.94675518694584
63,63,-79.94492740965472
64,64,-79.94258575072291
65,65,-79.94029168469507
66,66,-79.94014683059328
67,67,-79.94014225799674
68,68,-79.93986025855935
69,69,-79.93708248436877
70,70,-79.93591529026497
71,71,-79.93579145339805
72,72,-79.93325831136394
73,73,-79.93193834122019
74,74,-79.9306215761107
75,75,-79.92972615988208
76,76,-79.92661703231806
77,77,-79.92528861190175
78,78,-79.91884135817554
79,79,-79.91867865619673
80,80,-79.91744561069657
81,81,-79.916102340571
82,82,-79.9138079439386
83,83,-79.91116594990189
84,84,-79.91087092065254
85,85,-79.90979098469234
86,86,-79.9083346836643
87,87,-79.90098830463097
88,88,-79.8948998737805
89,89,-79.88575927853026
90,90,-79.88521678998154
91,91,-79.8852097195483
92,92,-79.8845131320843
93,93,-79.87672162315391
94,94,-79.8729973658439
95,95,-79.87060276363138
96,96,-79.86962457356185
97,97,-79.85228632462452
98,98,-79.84197410636477
99,99,-79.84094643107761
100,100,-79.83869616097581
101,101,-79.83860204905022
102,102,-79.83550381869463
103,103,-79.8209689907988
104,104,-79.81628325948964
105,105,-79.80847280276384
106,106,-79.80754873662926
107,107,-79.80488495768952
108,108,-79.80081424308258
109,109,-79.7910666231707
110,110,-79.78939195737178
111,111,-79.77418407384448
112,112,-79.77288481485283
113,113,-79.77147540553113
114,114,-79.76953561274166
115,115,-79.76142835379159
116,116,-79.7607853351438
117,117,-79.75906295792885
118,118,-79.7414990264196
119,119,-79.73702072575423
120,120,-79.7315700468431
121,121,-79.71813481905286
122,122,-79.71267388788851
123,123,-79.7088316816338
124,124,-79.70638831012377
125,125,-79.69099057814498
126,126,-79.67158141249325
127,127,-79.66538217078636
128,128,-79.66496076503978
129,129,-79.65612405085318
