,index,hotbit
0,0,-96.86269038706007
1,1,-96.8559280442771
2,2,-96.85457318111685
3,3,-96.85137579170373
4,4,-96.85078800261306
5,5,-96.8381078784846
6,6,-96.82684089757265
7,7,-96.82547799688075
8,8,-96.82317579023663
9,9,-96.81519358230594
10,10,-96.81509514556365
11,11,-96.81443758307057
12,12,-96.81292008782054
13,13,-96.80654621242775
14,14,-96.8047964164623
15,15,-96.80457908936933
16,16,-96.8042566714787
17,17,-96.80404089536341
18,18,-96.79731105892301
19,19,-96.79506409477449
20,20,-96.7942152723864
21,21,-96.78386761363288
22,22,-96.78247472552471
23,23,-96.78187004815754
24,24,-96.77860375972784
25,25,-96.77440636730569
26,26,-96.77342274596151
27,27,-96.77237570702152
28,28,-96.7677894000243
29,29,-96.7651149149093
30,30,-96.76497821781857
31,31,-96.7619350808991
32,32,-96.76114662965267
33,33,-96.75937077911226
34,34,-96.75753234894626
35,35,-96.7550465521449
36,36,-96.7539284087726
37,37,-96.7532930043318
38,38,-96.75305228106618
39,39,-96.75239736526134
40,40,-96.75076461083847
41,41,-96.75038630999416
42,42,-96.74878832724949
43,43,-96.74683551900398
44,44,-96.74614344327222
45,45,-96.74594530477839
46,46,-96.74464714236933
47,47,-96.74313859456879
48,48,-96.74275277982952
49,49,-96.74145846204601
50,50,-96.7406192087268
51,51,-96.738781903323
52,52,-96.73848530493001
53,53,-96.73697920312452
54,54,-96.73553998525415
55,55,-96.73375040985297
56,56,-96.73291926719412
57,57,-96.72725055225499
58,58,-96.72630322798307
59,59,-96.72163185517275
60,60,-96.72157405616792
61,61,-96.71941808688314
62,62,-96.71772112257815
63,63,-96.71608134205815
64,64,-96.7150267876458
65,65,-96.71472229968253
66,66,-96.71221330583239
67,67,-96.71205863832222
68,68,-96.71196749510057
69,69,-96.71100170730722
70,70,-96.70994582428807
71,71,-96.70464984850571
72,72,-96.7029906497529
73,73,-96.70106220255468
74,74,-96.69967262377384
75,75,-96.69786417542423
76,76,-96.69567684847118
77,77,-96.6903059693833
78,78,-96.68707823283171
79,79,-96.68644962131032
80,80,-96.68444665622178
81,81,-96.68027391516864
82,82,-96.68003810550192
83,83,-96.67516929279157
84,84,-96.67361358966559
85,85,-96.67276781276757
86,86,-96.67275620001806
87,87,-96.67064747451707
88,88,-96.67049482899017
89,89,-96.67024792144935
90,90,-96.66747351755134
91,91,-96.66696704525646
92,92,-96.66678456835916
93,93,-96.66422905128695
94,94,-96.66201147436857
95,95,-96.66122513644109
96,96,-96.65449567370024
97,97,-96.65413842025998
98,98,-96.65412309507303
99,99,-96.6503505971051
100,100,-96.64252782523818
101,101,-96.63553063861491
102,102,-96.63533372921893
103,103,-96.62308954862215
104,104,-96.62296596760564
105,105,-96.62228372143102
106,106,-96.62199751982757
107,107,-96.61941191205892
108,108,-96.61238823355052
109,109,-96.61220266730595
110,110,-96.60872631481732
111,111,-96.6034887170149
112,112,-96.60222283583028
113,113,-96.59852758065233
114,114,-96.58496104973847
115,115,-96.58325609031044
116,116,-96.5745648933156
117,117,-96.57336770220184
118,118,-96.5666498088442
119,119,-96.56428404355916
120,120,-96.56417841504606
121,121,-96.55700608446296
122,122,-96.540788365705
123,123,-96.52725872521751
124,124,-96.48165685900074
125,125,-96.47812761336752
