,index,hotbit,gaussian
0,0.0,-2252.6207066758157,-219553.10885453105
1,1.0,-2252.463442890165,-219551.07167095222
2,2.0,-2252.431934444578,-219557.62189454437
3,3.0,-2252.3575765512496,-219551.41383831092
4,4.0,-2252.3439070375134,-219556.59931597047
5,5.0,-2252.0490204298744,-219556.59931597047
6,6.0,-2251.7869976179686,-219551.8107448531
7,7.0,-2251.755302253041,-219557.62189454437
8,8.0,-2251.701762563643,-219551.07167095222
9,9.0,-2251.5161298210687,-219556.59931597047
10,10.0,-2251.5138405945036,-219552.4913459152
11,11.0,-2251.498548443502,-219552.84927056488
12,12.0,-2251.463257856292,-219553.10885453105
13,13.0,-2251.315028195995,-219547.97292690698
14,14.0,-2251.274335266565,-219548.59182773333
15,15.0,-2251.269281148124,-219547.97292690698
16,16.0,-2251.2617830576446,-219553.10885453105
17,17.0,-2251.2567650084516,-219553.10885453105
18,18.0,-2251.100257184256,-219551.8107448531
19,19.0,-2251.048002204058,-219548.59182773333
20,20.0,-2251.028262148521,-219552.84927056488
21,21.0,-2250.7876189216945,-219556.29094135627
22,22.0,-2250.7552261749934,-219552.52248080337
23,23.0,-2250.741163910641,-219552.84927056488
24,24.0,-2250.6652037146014,-219551.99154236447
25,25.0,-2250.5675899373414,-219556.29094135627
26,26.0,-2250.544715022361,-219551.41383831092
27,27.0,-2250.5203652795703,-219551.07167095222
28,28.0,-2250.4137069773096,-219552.08488374675
29,29.0,-2250.3515096490537,-219552.4913459152
30,30.0,-2250.3483306469434,-219553.10885453105
31,30.999999999999996,-2250.2775600209093,-219552.4913459152
32,32.0,-2250.2592239454116,-219552.84927056488
33,33.0,-2250.217925095634,-219552.02046237237
34,34.0,-2250.1751709057276,-219552.52248080337
35,35.0,-2250.1173616777887,-219553.10885453105
36,36.0,-2250.091358343549,-219551.07167095222
37,37.0,-2250.0765814960882,-219556.59931597047
38,38.0,-2250.070983280609,-219549.73641456827
39,39.0,-2250.0557526804964,-219552.84927056488
40,40.0,-2250.017781647407,-219556.29094135627
41,41.0,-2250.008983953353,-219557.62189454437
42,42.0,-2249.971821563942,-219556.59931597047
43,43.0,-2249.926407418697,-219556.59931597047
44,44.0,-2249.910312634238,-219556.29094135627
45,45.0,-2249.9057047622887,-219552.4913459152
46,46.0,-2249.875514938821,-219552.4913459152
47,46.99999999999999,-2249.840432431833,-219556.59931597047
48,48.0,-2249.8314599960354,-219551.07167095222
49,49.0,-2249.8013595824655,-219556.59931597047
50,50.0,-2249.781842063414,
51,50.99999999999999,-2249.7391140307677,
52,52.0,-2249.732216393721,
53,53.0,-2249.697190770338,
54,54.0,-2249.6637205873058,
55,55.00000000000001,-2249.62210255472,
56,56.0,-2249.6027736556775,
57,57.0,-2249.470943075698,
58,58.0,-2249.4489122786763,
59,59.00000000000001,-2249.3402757016925,
60,60.0,-2249.338931538789,
61,61.0,-2249.288792718213,
62,61.99999999999999,-2249.249328432051,
63,63.00000000000001,-2249.211194001353,
64,64.0,-2249.186669480135,
65,65.0,-2249.17958836471,
66,66.0,-2249.1212396705214,
67,67.0,-2249.11764275168,
68,68.0,-2249.1155231418734,
69,69.0,-2249.0930629606332,
70,70.0,-2249.0685075415836,
71,71.0,-2248.945345314087,
72,72.0,-2248.9067592965794,
73,73.0,-2248.8619116873183,
74,74.0,-2248.8295959017173,
75,75.0,-2248.7875389633546,
76,76.0,-2248.736670894679,
77,77.0,-2248.6117667298445,
78,78.0,-2248.5367030891102,
79,79.0,-2248.522084216519,
80,80.0,-2248.4755036330653,
81,81.0,-2248.378463143457,
82,82.0,-2248.3729791977194,
83,83.0,-2248.2597509951524,
84,84.0,-2248.223571852688,
85,85.0,-2248.2039026225016,
86,86.0,-2248.2036325585595,
87,87.0,-2248.15459243063,
88,88.0,-2248.151042534655,
89,89.0,-2248.1453004988225,
90,90.0,-2248.0807794779384,
91,91.00000000000001,-2248.069001052476,
92,92.0,-2248.0647574037016,
93,93.0,-2248.0053267741155,
94,93.99999999999999,-2247.9537552178735,
95,95.0,-2247.9354682893277,
96,96.0,-2247.7789691558196,
97,97.0,-2247.770660936279,
98,98.0,-2247.7703045365824,
99,99.00000000000001,-2247.6825720257,
100,100.0,-2247.5006470985627,
101,101.0,-2247.3379218282544,
102,101.99999999999999,-2247.333342539975,
103,103.0,-2247.0485941540037,
104,104.0,-2247.045720176876,
105,105.0,-2247.0298539867676,
106,106.0,-2247.023198135525,
107,107.00000000000001,-2246.963067722301,
108,108.0,-2246.79972636164,
109,109.0,-2246.7954108675804,
110,110.00000000000001,-2246.714565460868,
111,111.0,-2246.5927608608117,
112,112.0,-2246.5633217634954,
113,112.99999999999999,-2246.4773855965655,
114,114.0,-2246.1618848776393,
115,115.0,-2246.1222346583827,
116,116.0,-2245.920113798037,
117,117.0,-2245.892272144229,
118,118.00000000000001,-2245.7360420661444,
119,119.0,-2245.681024268818,
120,120.0,-2245.678567791769,
121,120.99999999999999,-2245.511769406115,
122,122.0,-2245.1346131559303,
123,123.0,-2244.8199703538958,
124,123.99999999999999,-2243.759461837227,
125,125.0,-2243.6773863573844,
