,index,hotbit
0,0,-122.2734393475867
1,1,-122.27030231741185
2,2,-122.26542366351805
3,3,-122.26296555277145
4,4,-122.26067883691127
5,5,-122.25089600346047
6,6,-122.24509711975537
7,7,-122.24164272231957
8,8,-122.23689324957326
9,9,-122.23629662057442
10,10,-122.23546402929088
11,11,-122.23497972246594
12,12,-122.23492868432788
13,13,-122.23348426201204
14,14,-122.23327545742433
15,15,-122.2322976236922
16,16,-122.231696766565
17,17,-122.23132249718054
18,18,-122.23093107308347
19,19,-122.23060151278429
20,20,-122.2302444470314
21,21,-122.22954621076877
22,22,-122.22923530351937
23,23,-122.22855738842713
24,24,-122.22812644131193
25,25,-122.22812508397874
26,26,-122.22787577560456
27,27,-122.22743601939226
28,28,-122.22740693504028
29,29,-122.22711763028298
30,30,-122.22691458460241
31,31,-122.22673917221658
32,32,-122.22639750234572
33,33,-122.22607004627474
34,34,-122.22601465161142
35,35,-122.22597984224626
36,36,-122.22561250078536
37,37,-122.22481192165117
38,38,-122.22477162170941
39,39,-122.22458748832838
40,40,-122.22444414880653
41,41,-122.2239434962708
42,42,-122.22371422612207
43,43,-122.22356577035464
44,44,-122.22250675877052
45,45,-122.2223785479373
46,46,-122.2222836337595
47,47,-122.22212379400753
48,48,-122.22068975657464
49,49,-122.22057665849923
50,50,-122.22057219114521
51,51,-122.2204521925222
52,52,-122.22041515254546
53,53,-122.22016102100827
54,54,-122.21983208268892
55,55,-122.21982545091169
56,56,-122.21955474583865
57,57,-122.21943631096872
58,58,-122.21797362383711
59,59,-122.21790294596013
60,60,-122.21786014890637
61,61,-122.21762802363531
62,62,-122.21760558993537
63,63,-122.21692213540683
64,64,-122.21629234463938
65,65,-122.2162722551999
66,66,-122.2158959461197
67,67,-122.2154468827643
68,68,-122.21531694046053
69,69,-122.21515124578707
70,70,-122.21507258645164
71,71,-122.21507062301822
72,72,-122.21488891412986
73,73,-122.21481077539039
74,74,-122.21472030596829
75,75,-122.21442462488358
76,76,-122.21359632998428
77,77,-122.21359330644361
78,78,-122.21330336153181
79,79,-122.21311586290676
80,80,-122.21303385705096
81,81,-122.2126386302665
82,82,-122.21254876626313
83,83,-122.21200084945553
84,84,-122.21199283154431
85,85,-122.21180944341597
86,86,-122.2114982652086
87,87,-122.21128909187456
88,88,-122.21101934104053
89,89,-122.21091991756197
90,90,-122.21077520748332
91,91,-122.21034580553277
92,92,-122.2101497965316
93,93,-122.21011775087703
94,94,-122.21009755210275
95,95,-122.20963483325909
96,96,-122.20935152986283
97,97,-122.20874946469183
98,98,-122.20865578223402
99,99,-122.20843347768226
100,100,-122.20813466685848
101,101,-122.20778382392808
102,102,-122.20750071420963
103,103,-122.20718550795988
104,104,-122.2064798232181
105,105,-122.2060376871097
106,106,-122.20589015418676
107,107,-122.20514212246974
108,108,-122.20507328503959
109,109,-122.20468384925954
110,110,-122.20425064340634
111,111,-122.20378690588802
112,112,-122.20359422855324
113,113,-122.20358119662097
114,114,-122.20304348398952
115,115,-122.20263666724293
116,116,-122.20253095569893
117,117,-122.2019014471764
118,118,-122.20147716907366
119,119,-122.20121374146345
120,120,-122.20055927819982
121,121,-122.19995878677304
122,122,-122.19992213908046
123,123,-122.19917374450148
124,124,-122.19891631953993
125,125,-122.1988240869365
126,126,-122.19863214770027
127,127,-122.19857276750287
128,128,-122.19826503441124
129,129,-122.19818984728715
130,130,-122.19802218060255
131,131,-122.19790023869723
132,132,-122.19729568033216
133,133,-122.19717818072036
134,134,-122.19690278040486
135,135,-122.19677508163727
136,136,-122.19666896720128
137,137,-122.19642158932305
138,138,-122.19625871067967
139,139,-122.1962489599382
140,140,-122.19624479781805
141,141,-122.19582104524494
142,142,-122.1957294220835
143,143,-122.19561362626399
144,144,-122.19456718607705
145,145,-122.1942197606295
146,146,-122.19400100606026
147,147,-122.19375921900303
148,148,-122.19281465876065
149,149,-122.1923991378498
150,150,-122.19222543331682
151,151,-122.19204471866777
152,152,-122.19125318449301
153,153,-122.19082568956645
154,154,-122.19082372022245
155,155,-122.19044494453783
156,156,-122.19035807947057
157,157,-122.18981760551372
158,158,-122.18948926364664
159,159,-122.18927946481693
160,160,-122.18904756462189
161,161,-122.18892172449455
162,162,-122.18872835517902
163,163,-122.18773570073904
164,164,-122.1875303351598
165,165,-122.18711971180562
166,166,-122.18677071350322
167,167,-122.1862203452144
168,168,-122.18582234209936
169,169,-122.18576256818335
170,170,-122.1855661928027
171,171,-122.18472146683467
172,172,-122.18459424362317
173,173,-122.18308665356096
174,174,-122.18266149863916
175,175,-122.18247086259748
176,176,-122.18229454996612
177,177,-122.18203836221
178,178,-122.18202825099354
179,179,-122.18155387462224
180,180,-122.18042774713035
181,181,-122.18038792224928
182,182,-122.18036496222686
183,183,-122.17997841196609
184,184,-122.17978677373975
185,185,-122.17909653322334
186,186,-122.1790942491337
187,187,-122.1790134354718
188,188,-122.1785797769088
189,189,-122.17837482663487
190,190,-122.17811252361173
191,191,-122.17725733384583
192,192,-122.17667260548922
193,193,-122.17632096677647
194,194,-122.17624691743106
195,195,-122.17609448303159
196,196,-122.17609313957786
197,197,-122.17596195174195
198,198,-122.17577835579749
199,199,-122.17568319966563
200,200,-122.17519522625827
201,201,-122.17487160526355
202,202,-122.17428316149102
203,203,-122.17261956013732
204,204,-122.1722953087218
205,205,-122.17223083824496
206,206,-122.17211390026597
207,207,-122.1717111642908
208,208,-122.17146175840162
209,209,-122.17094166476375
210,210,-122.17034435177993
211,211,-122.17003192104596
212,212,-122.16973314875986
213,213,-122.16971676011008
214,214,-122.16970223803764
215,215,-122.16954761991701
216,216,-122.16951570485298
217,217,-122.16886985862806
218,218,-122.16855299545824
219,219,-122.1683954540149
220,220,-122.16837261915441
221,221,-122.16721824324497
222,222,-122.16711487382037
223,223,-122.16691444531597
224,224,-122.16687697762859
225,225,-122.16670167523927
226,226,-122.16664855669529
227,227,-122.16660342215113
228,228,-122.16655436852665
229,229,-122.16643600528829
230,230,-122.16623296514894
231,231,-122.16607607083665
232,232,-122.1660505456154
233,233,-122.16587990240293
234,234,-122.16550063276509
235,235,-122.165151722838
236,236,-122.16477958823509
237,237,-122.16433168952972
238,238,-122.16374634541557
239,239,-122.16311179552974
240,240,-122.16307055518467
241,241,-122.16304458559415
242,242,-122.16277365819991
243,243,-122.16222777589604
244,244,-122.16222176808822
245,245,-122.16221918933462
246,246,-122.16217774761265
247,247,-122.1620981746965
248,248,-122.1619730374868
249,249,-122.16084761396957
250,250,-122.1604825427695
251,251,-122.16018668914802
252,252,-122.1601248096041
253,253,-122.15969560870997
254,254,-122.15930429986776
255,255,-122.15906221832302
256,256,-122.158620333172
257,257,-122.15848055568182
258,258,-122.15843586112157
259,259,-122.15822169989389
260,260,-122.15812748841876
261,261,-122.1579299488535
262,262,-122.157918555935
263,263,-122.15783522306691
264,264,-122.15782516022756
265,265,-122.1576977421642
266,266,-122.15713496845166
267,267,-122.15708283713889
268,268,-122.15679681203795
269,269,-122.15674784123968
270,270,-122.1564153561381
271,271,-122.15631919006984
272,272,-122.15593074466204
273,273,-122.15577816729439
274,274,-122.15536226776953
275,275,-122.15499722648207
276,276,-122.15479669528025
277,277,-122.15461213621404
278,278,-122.15451990587837
279,279,-122.15450579324283
280,280,-122.15424067590345
281,281,-122.15354558040974
282,282,-122.15304174146434
283,283,-122.1529690443644
284,284,-122.1529172446044
285,285,-122.15290363774267
286,286,-122.1528063275785
287,287,-122.15266704142994
288,288,-122.1524534359566
289,289,-122.15186053541504
290,290,-122.15163186585562
291,291,-122.15121514391348
292,292,-122.15041810970644
293,293,-122.15033526246248
294,294,-122.15029454987462
295,295,-122.15020040747834
296,296,-122.14956515481066
297,297,-122.14943493175065
298,298,-122.14931096101918
299,299,-122.14931090695626
300,300,-122.1492470233494
301,301,-122.14918211796885
302,302,-122.14882754468488
303,303,-122.14871031416175
304,304,-122.14863641391753
305,305,-122.14858904849956
306,306,-122.14844553298764
307,307,-122.14798763937068
308,308,-122.14789076869829
309,309,-122.14765581380715
310,310,-122.14759567070928
311,311,-122.1475629985494
312,312,-122.14749087573699
313,313,-122.14728906697923
314,314,-122.14715301250345
315,315,-122.14711723601766
316,316,-122.14687159276497
317,317,-122.14672574378068
318,318,-122.14659299587515
319,319,-122.14654160930701
320,320,-122.14648407375756
321,321,-122.14548920875615
322,322,-122.1452886353606
323,323,-122.1451771926059
324,324,-122.14502664073711
325,325,-122.14457762541417
326,326,-122.14451650384814
327,327,-122.14444469259422
328,328,-122.14434438222634
329,329,-122.14389822832419
330,330,-122.14344810223827
331,331,-122.14295700323618
332,332,-122.14230919534515
333,333,-122.14225261678092
334,334,-122.14224645890084
335,335,-122.14224002883896
336,336,-122.14205453137652
337,337,-122.1419650120232
338,338,-122.14189725486659
339,339,-122.14176737006972
340,340,-122.1416958585416
341,341,-122.14164795165169
342,342,-122.1409621928143
343,343,-122.14044831822667
344,344,-122.14026966074033
345,345,-122.14009200037526
346,346,-122.13994852534506
347,347,-122.13990490772233
348,348,-122.1398967803612
349,349,-122.13913529192604
350,350,-122.13910001958652
351,351,-122.13900088536354
352,352,-122.13841769696342
353,353,-122.13814235593856
354,354,-122.13782508583029
355,355,-122.13774730570634
356,356,-122.13727915512203
357,357,-122.13711443043474
358,358,-122.1370555772109
359,359,-122.13689945764486
360,360,-122.13629392488576
361,361,-122.13531356228032
362,362,-122.13506743469253
363,363,-122.13478162895927
364,364,-122.13463431117754
365,365,-122.13404300519295
366,366,-122.13378537259592
367,367,-122.13362239321265
368,368,-122.13288591549889
369,369,-122.13183623210045
370,370,-122.13008376665107
371,371,-122.12962669599574
372,372,-122.12932276257573
373,373,-122.128967023614
374,374,-122.12872167297394
375,375,-122.12870315296868
376,376,-122.12782032817086
377,377,-122.12773512544226
378,378,-122.12751438554216
379,379,-122.12739701252337
380,380,-122.12663842788561
381,381,-122.1259046095422
382,382,-122.1258930852353
383,383,-122.12409098090461
384,384,-122.12404454944243
385,385,-122.12379929562826
386,386,-122.12252268014095
387,387,-122.1213270320739
388,388,-122.12101310039469
389,389,-122.12041916815485
390,390,-122.11948677312682
391,391,-122.11851443334979
392,392,-122.11819733339479
393,393,-122.1166722594815
394,394,-122.11561764800103
395,395,-122.11458913679718
396,396,-122.11364994969915
397,397,-122.1127963946173
398,398,-122.11246597479459
399,399,-122.11064468270837
400,400,-122.11047127013472
401,401,-122.11035558248267
402,402,-122.10971210861265
403,403,-122.10970950511825
404,404,-122.10784985479467
405,405,-122.1069846237707
406,406,-122.10582937865405
407,407,-122.10474855185504
408,408,-122.10470324699389
409,409,-122.10449773933675
410,410,-122.10418275813112
411,411,-122.10388533110216
412,412,-122.10373166433578
413,413,-122.10351234698874
414,414,-122.10295797962863
415,415,-122.10275132893685
416,416,-122.10243270509073
417,417,-122.10241516028981
418,418,-122.10199980123565
419,419,-122.10125989093575
420,420,-122.10107242636315
421,421,-122.10077608642644
422,422,-122.10063128601536
423,423,-122.10048656391706
424,424,-122.09959143800546
425,425,-122.09923907517543
426,426,-122.09869868214804
427,427,-122.09832940845098
428,428,-122.09781548775067
429,429,-122.09723559790308
430,430,-122.09720065727896
431,431,-122.09705969754907
432,432,-122.0969932821929
433,433,-122.09674750055257
434,434,-122.09629762016505
435,435,-122.0962271057956
436,436,-122.09598799742093
437,437,-122.09584943237525
438,438,-122.09570878425995
439,439,-122.09568720890331
440,440,-122.09557275173347
