,index,hotbit,gaussian
0,0.0,-2843.568356920621,-174874.45455995167
1,1.0,-2843.4954027305084,-174874.45455995167
2,2.0,-2843.381945663211,-174872.520399946
3,3.0,-2843.3247802970104,-174874.01930433986
4,4.0,-2843.271600858402,-174872.67158134416
5,5.0,-2843.0440931037324,-174874.37887432915
6,6.0,-2842.909235343148,-174874.01930433986
7,7.0,-2842.82890051906,-174874.01664648356
8,8.0,-2842.7184476644948,-174870.86113822143
9,9.0,-2842.7045725714984,-174873.97361452426
10,10.0,-2842.6852099835087,-174874.20655664508
11,11.0,-2842.6739470340917,-174874.01664648356
12,12.0,-2842.6727601006482,-174874.4562685736
13,13.0,-2842.6391688840013,-174872.10963458157
14,14.0,-2842.6343129633565,-174872.49242917242
15,15.0,-2842.611572644005,-174874.3863416397
16,16.0,-2842.597599222442,-174874.4562685736
17,17.0,-2842.588895283269,-174872.49242917242
18,18.0,-2842.5797923972905,-174870.8574045661
19,19.0,-2842.572128204286,-174874.30850441926
20,20.0,-2842.5638243495678,-174872.15469157425
21,21.0,-2842.5475862969483,-174874.01664648356
22,22.0,-2842.540355895799,-174873.7823121523
23,23.0,-2842.524590428538,-174872.0143314482
24,24.0,-2842.514568402603,-174873.73434417415
25,25.0,-2842.514536836715,-174874.45455995167
26,26.0,-2842.508738967548,-174874.37887432915
27,27.0,-2842.49851207889,-174874.4562685736
28,28.0,-2842.497835698611,-174870.8574045661
29,29.0,-2842.491107681,-174874.45455995167
30,30.0,-2842.4863856884285,-174874.3863416397
31,30.999999999999996,-2842.4823063306185,-174873.97361452426
32,32.0,-2842.474360519668,-174873.73434417415
33,33.0,-2842.4667452622034,-174874.4562685736
34,34.0,-2842.4654570142193,-174874.45455995167
35,35.0,-2842.464647494099,-174874.01930433986
36,36.0,-2842.456104669427,-174872.14285778542
37,37.0,-2842.437486550027,-174874.20655664508
38,38.0,-2842.4365493420796,-174869.9707563578
39,39.0,-2842.4322671704276,-174873.73434417415
40,40.0,-2842.4289336931747,-174874.37887432915
41,41.0,-2842.417290610949,-174874.30850441926
42,42.0,-2842.411958747025,-174874.20655664508
43,43.0,-2842.4085062873173,-174872.520399946
44,44.0,-2842.3838781109425,-174873.9171034365
45,45.0,-2842.3808964636582,-174872.02097608897
46,46.0,-2842.378689157198,-174874.45455995167
47,46.99999999999999,-2842.3749719536636,-174874.01930433986
48,48.0,-2842.3416222459223,-174872.5019847987
49,49.0,-2842.338992058122,
50,50.0,-2842.338888166168,
51,50.99999999999999,-2842.3360975005166,
52,52.0,-2842.3352361057086,
53,53.0,-2842.32932606996,
54,54.0,-2842.321676341603,
55,55.00000000000001,-2842.321522114226,
56,56.0,-2842.3152266474103,
57,57.0,-2842.31247234811,
58,58.0,-2842.2784563683053,
59,59.00000000000001,-2842.276812696747,
60,60.0,-2842.2758174164273,
61,61.0,-2842.27041915431,
62,61.99999999999999,-2842.2698974403575,
63,63.00000000000001,-2842.254003148996,
64,64.0,-2842.239356852079,
65,65.0,-2842.2388896558123,
66,66.0,-2842.230138281854,
67,67.0,-2842.219694948007,
68,68.0,-2842.2166730339654,
69,69.0,-2842.212819669467,
70,70.0,-2842.2109903825967,
71,71.0,-2842.2109447213543,
72,72.0,-2842.206718933253,
73,73.0,-2842.204901753266,
74,74.0,-2842.202797813216,
75,75.0,-2842.1959215089205,
76,76.0,-2842.176658836844,
77,77.0,-2842.1765885219443,
78,78.0,-2842.1698456170184,
79,79.0,-2842.1654851838784,
80,80.0,-2842.1635780709526,
81,81.0,-2842.1543867503838,
82,82.0,-2842.1522968898403,
83,83.0,-2842.1395546385,
84,84.0,-2842.1393681754494,
85,85.0,-2842.135103335255,
86,86.0,-2842.127866632758,
87,87.0,-2842.1230021366177,
88,88.0,-2842.1167288614074,
89,89.0,-2842.1144166874874,
90,90.0,-2842.111051336821,
91,91.00000000000001,-2842.101065244948,
92,92.0,-2842.096506896084,
93,93.0,-2842.095761648304,
94,93.99999999999999,-2842.0952919093666,
95,95.0,-2842.0845310060254,
96,96.0,-2842.07794255495,
97,97.0,-2842.0639410393455,
98,98.0,-2842.0617623775356,
99,99.00000000000001,-2842.056592504239,
100,100.0,-2842.0496434153138,
101,101.0,-2842.041484277397,
102,101.99999999999999,-2842.034900330457,
103,103.0,-2842.0275699525555,
104,104.0,-2842.011158679491,
105,105.0,-2842.000876444412,
106,106.0,-2841.997445446204,
107,107.00000000000001,-2841.9800493597613,
108,108.0,-2841.9784484892934,
109,109.0,-2841.969391843246,
110,110.00000000000001,-2841.95931728852,
111,111.0,-2841.9485326950708,
112,112.0,-2841.9440518268198,
113,112.99999999999999,-2841.9437487586274,
114,114.0,-2841.93124381371,
115,115.0,-2841.921782959138,
116,116.0,-2841.9193245511383,
117,117.0,-2841.904684818056,
118,118.00000000000001,-2841.894817885434,
119,119.0,-2841.8886916619404,
120,120.0,-2841.8734715860423,
121,120.99999999999999,-2841.859506669141,
122,122.0,-2841.8586543972197,
123,123.0,-2841.8412498721277,
124,123.99999999999999,-2841.835263245115,
125,125.0,-2841.833118300849,
126,126.00000000000001,-2841.8286545976816,
127,127.0,-2841.827273662858,
128,128.0,-2841.8201170793313,
129,129.0,-2841.818368541562,
130,130.0,-2841.814469316339,
131,131.0,-2841.8116334580754,
132,132.0,-2841.7975739612134,
133,133.0,-2841.794841412102,
134,134.0,-2841.7884367536017,
135,135.0,-2841.785467014821,
136,136.0,-2841.7829992372394,
137,137.0,-2841.7772462633266,
138,138.0,-2841.7734583879,
139,139.0,-2841.77323162647,
140,140.0,-2841.773134832978,
141,141.0,-2841.7632801219756,
142,142.0,-2841.761149350779,
143,143.0,-2841.7584564247445,
144,144.0,-2841.734120606443,
145,145.0,-2841.7260409448727,
146,146.0,-2841.7209536293085,
147,147.0,-2841.7153306744895,
148,148.0,-2841.6933641572246,
149,149.0,-2841.683700880228,
150,150.0,-2841.679661239926,
151,151.0,-2841.6754585736694,
152,152.0,-2841.657050802163,
153,153.0,-2841.6471090596847,
154,154.0,-2841.647063260987,
155,155.0,-2841.6382545241363,
156,156.0,-2841.6362344062923,
157,157.0,-2841.6236652445054,
158,158.0,-2841.616029387131,
159,159.0,-2841.61115034458,
160,160.0,-2841.605757316788,
161,161.0,-2841.6028308021996,
162,162.0,-2841.598333841373,
163,163.0,-2841.5752488543967,
164,164.0,-2841.570472910693,
165,165.0,-2841.5609235303637,
166,166.0,-2841.5528072907728,
167,167.0,-2841.5400080282425,
168,168.0,-2841.530752141846,
169,169.0,-2841.529362050776,
170,170.0,-2841.524795181458,
171,171.0,-2841.5051503915042,
172,172.0,-2841.5021917121667,
173,173.0,-2841.4671314781617,
174,174.0,-2841.457244154399,
175,175.0,-2841.4528107580813,
176,176.0,-2841.448710464329,
177,176.99999999999997,-2841.442752609535,
178,178.0,-2841.4425174649664,
179,179.0,-2841.431485456331,
180,180.0,-2841.405296444892,
181,181.0,-2841.404370284867,
182,182.00000000000003,-2841.4038363308573,
183,183.0,-2841.394846789909,
184,184.0,-2841.3903900869714,
185,185.0,-2841.3743379819384,
186,186.0,-2841.3742848635748,
187,187.00000000000003,-2841.3724054760887,
188,187.99999999999997,-2841.3623203932284,
189,189.0,-2841.357554107788,
190,190.0,-2841.351454037482,
191,191.0,-2841.331565903392,
192,192.0,-2841.317967569517,
193,192.99999999999997,-2841.3097899250347,
194,194.0,-2841.3080678472343,
195,195.0,-2841.3045228612,
196,196.0,-2841.30449161809,
197,197.0,-2841.3014407381856,
198,198.00000000000003,-2841.2971710650577,
199,198.99999999999997,-2841.2949581317594,
200,200.0,-2841.2836099129836,
201,201.0,-2841.2760838433387,
202,202.0,-2841.2623991044425,
203,203.0,-2841.2237107008677,
204,203.99999999999997,-2841.216169970274,
205,205.0,-2841.2146706568597,
206,206.0,-2841.211951168976,
207,207.0,-2841.202585216065,
208,208.0,-2841.1967850791075,
209,209.00000000000003,-2841.1846898782273,
210,210.0,-2841.170798878603,
211,211.0,-2841.1635330475806,
212,212.0,-2841.1565848548807,
213,213.0,-2841.1562037234903,
214,214.00000000000003,-2841.1558660008754,
215,214.99999999999997,-2841.152270230628,
216,216.0,-2841.151528019837,
217,217.0,-2841.1365083401874,
218,218.0,-2841.1291394292616,
219,219.0,-2841.1254756747658,
220,220.00000000000003,-2841.1249446314982,
221,221.0,-2841.098098680115,
222,222.0,-2841.0956947400086,
223,223.0,-2841.091033611999,
224,224.0,-2841.0901622704328,
225,225.00000000000003,-2841.086085470681,
226,225.99999999999997,-2841.0848501557048,
227,227.0,-2841.0838005151427,
228,228.0,-2841.082659733178,
229,229.0,-2841.0799070997277,
230,230.0,-2841.075185236022,
