,index,hotbit,gaussian
0,0.0,-1485.8471664131498,-169797.24303181857
1,1.0,-1485.6640818148524,-169801.6980419691
2,2.0,-1485.63064202866,-169801.6980419691
3,3.0,-1484.9755111155112,-169797.24303181857
4,4.0,-1484.7666552139021,-169797.24303181857
5,5.0,-1484.7427400994884,-169801.6980419691
6,6.0,-1484.5673746973582,-169798.61201766477
7,7.0,-1484.3607564782578,-169798.61201766477
8,8.0,-1484.3427055071534,-169798.61201766477
9,9.0,-1484.0381740268986,-169801.6980419691
10,10.0,-1483.9056125578782,-169801.6980419691
11,11.0,-1483.8946299316024,-169801.6980419691
12,12.0,-1483.7245543403671,-169801.6980419691
13,13.0,-1483.7074949158255,-169798.61201766477
14,14.0,-1483.7037428822687,-169801.6980419691
15,15.0,-1483.6961536275674,-169801.6980419691
16,16.0,-1483.6441383184228,-169798.61201766477
17,17.0,-1483.4544045389632,-169801.6980419691
18,18.0,-1483.3267226519647,-169797.24303181857
19,19.0,-1483.171186095245,-169797.24303181857
20,20.0,-1483.156950998832,-169798.61201766477
21,21.0,-1483.1172146894537,-169798.61201766477
22,22.0,-1482.2570921390193,
