,index,hotbit
0,0,-106.60242148173279
1,1,-106.56020735835273
2,2,-106.50707536706147
3,3,-106.4764749434745
4,4,-106.46987823277732
5,5,-106.4626269868013
6,6,-106.45859307567025
7,7,-106.42892515685014
8,8,-106.42532970777665
9,9,-106.37510134235674
10,10,-106.3739830542155
11,11,-106.3646686344158
12,12,-106.3579893430009
13,13,-106.3548895860622
14,14,-106.35419179539429
15,15,-106.35408692305964
16,16,-106.35110676732836
17,17,-106.3489219764258
18,18,-106.34716185284697
19,19,-106.3447930930115
20,20,-106.3424017143492
21,21,-106.33727048050946
22,22,-106.3317575651854
23,23,-106.3300345400861
24,24,-106.32967479568936
25,25,-106.3289012590676
26,26,-106.32212367261013
27,27,-106.32036995510555
28,28,-106.31714636608854
29,29,-106.31433368575074
30,30,-106.30934283789315
31,31,-106.30885890163438
32,32,-106.30382781793219
33,33,-106.30376610323742
34,34,-106.30032893699831
35,35,-106.2988501065928
36,36,-106.29882566260358
37,37,-106.29560210872796
38,38,-106.29517496343726
39,39,-106.294388603004
40,40,-106.2862572913823
41,41,-106.28263941269233
42,42,-106.27907932731966
43,43,-106.27849957438889
44,44,-106.27535794553762
45,45,-106.27326847354573
46,46,-106.27247910832989
47,47,-106.26747574635101
48,48,-106.26396549055096
49,49,-106.2620906574698
50,50,-106.26149099376005
51,51,-106.26124758461515
52,52,-106.25825204547527
53,53,-106.25475909889894
54,54,-106.2522362427361
55,55,-106.25026972718786
56,56,-106.24874090847845
57,57,-106.24649173401895
58,58,-106.24525217122903
59,59,-106.2446536802355
60,60,-106.2440096982566
61,61,-106.24257055994576
62,62,-106.23503294602597
63,63,-106.23440447959774
64,64,-106.23325000692978
65,65,-106.2306318494476
66,66,-106.23050914294788
67,67,-106.22933797444591
68,68,-106.22722701399096
69,69,-106.22681538199129
70,70,-106.22553184709204
71,71,-106.22462541977643
72,72,-106.22455909721612
73,73,-106.22274615315348
74,74,-106.22245134898765
75,75,-106.22165886436812
76,76,-106.22002884761582
77,77,-106.21949461044073
78,78,-106.21751636128704
79,79,-106.21741109787456
80,80,-106.21371953307732
81,81,-106.21112037433113
82,82,-106.21019992862512
83,83,-106.20922712957736
84,84,-106.20894466500306
85,85,-106.20711445654831
86,86,-106.20643329776988
87,87,-106.20609018964194
88,88,-106.20572009214766
89,89,-106.20521527021378
90,90,-106.20420801010005
91,91,-106.2040747880335
92,92,-106.20286920663693
93,93,-106.20228923123966
94,94,-106.20137721809215
95,95,-106.20122717047741
96,96,-106.20028419553216
97,97,-106.2002500616536
98,98,-106.19967297739083
99,99,-106.19900729383642
100,100,-106.19594273332063
101,101,-106.19590633563746
102,102,-106.19519318733091
103,103,-106.19477583154185
104,104,-106.19364001932706
105,105,-106.19350388381883
106,106,-106.19291419537637
107,107,-106.19140262698784
108,108,-106.19089120978856
109,109,-106.1894171544302
110,110,-106.18913777643934
111,111,-106.18910562578708
112,112,-106.18907562273671
113,113,-106.1888038080341
114,114,-106.18867027821807
115,115,-106.18860758611822
116,116,-106.18853612613236
117,117,-106.18798417346898
118,118,-106.18761563572059
119,119,-106.18760894628326
120,120,-106.18760288049702
121,121,-106.18674568905044
122,122,-106.1856705341296
123,123,-106.18299493276822
124,124,-106.18130180041749
125,125,-106.18048465399374
126,126,-106.17983997210354
127,127,-106.17963272569943
128,128,-106.17961160989023
129,129,-106.17904113267468
130,130,-106.17861562389305
131,131,-106.1778776986182
132,132,-106.17642571502574
133,133,-106.1722817404567
134,134,-106.17179422851052
135,135,-106.17008800356462
136,136,-106.16794099533911
137,137,-106.16677951361578
138,138,-106.16665477445008
139,139,-106.16601824579413
140,140,-106.1658923764968
141,141,-106.16522928763402
142,142,-106.16449232994523
143,143,-106.16402228552624
144,144,-106.16334144363861
145,145,-106.16309302372326
146,146,-106.16309108983137
147,147,-106.16301089602132
148,148,-106.16289104844884
149,149,-106.16271272502729
150,150,-106.16251534785977
151,151,-106.16129089415108
152,152,-106.16076094531229
153,153,-106.16059648019757
154,154,-106.16014552264778
155,155,-106.15974411178615
156,156,-106.15873609588618
157,157,-106.15872739523468
158,158,-106.158181282383
159,159,-106.15804183682133
160,160,-106.15794489165273
161,161,-106.15787654868154
162,162,-106.1578385594994
163,163,-106.15782708227277
164,164,-106.15763908622375
165,165,-106.15657113972065
166,166,-106.15546707663475
167,167,-106.15464762912438
168,168,-106.1540538860545
169,169,-106.15368650409903
170,170,-106.15283893335334
171,171,-106.15225202572549
172,172,-106.15220579305787
173,173,-106.15218193253565
174,174,-106.15168285027221
175,175,-106.15156433474203
176,176,-106.15098539778296
177,177,-106.15094767974529
178,178,-106.14976676713832
179,179,-106.14963303393608
180,180,-106.1495880836809
181,181,-106.14929861069402
182,182,-106.14853542199444
183,183,-106.14774268264273
184,184,-106.14730748981935
185,185,-106.14567125520693
186,186,-106.14484743838113
187,187,-106.14435586332263
188,188,-106.1439481695835
189,189,-106.14192267938256
190,190,-106.14190193104696
191,191,-106.14154853319417
192,192,-106.14084604525613
193,193,-106.14042834470229
194,194,-106.1401753923086
195,195,-106.13966311163506
196,196,-106.13865600073052
197,197,-106.13796497488715
198,198,-106.13742568941427
199,199,-106.13629513455396
200,200,-106.13519646018722
201,201,-106.1348430699428
202,202,-106.13171571545865
203,203,-106.13065302903556
204,204,-106.12951804436454
205,205,-106.12935543509411
206,206,-106.12907117576265
207,207,-106.1290108963293
208,208,-106.12878289071386
209,209,-106.12749595327966
210,210,-106.12598145230857
211,211,-106.12555836350305
212,212,-106.1249236027545
213,213,-106.12389419955912
214,214,-106.12325616297233
215,215,-106.12304703601228
216,216,-106.12157760836703
217,217,-106.12149469412395
218,218,-106.12047276955104
219,219,-106.12014492911317
220,220,-106.1196069022443
221,221,-106.11943391160253
222,222,-106.11933368277948
223,223,-106.1186515981384
224,224,-106.11852377637865
225,225,-106.1183704299525
226,226,-106.11835578536079
227,227,-106.118167931926
228,228,-106.11812252763139
229,229,-106.11566528145659
230,230,-106.11541733871786
231,231,-106.11491913985367
232,232,-106.11427452905696
233,233,-106.11402302574936
234,234,-106.1139845690318
235,235,-106.11371706147804
236,236,-106.11323459915525
237,237,-106.11114739053846
238,238,-106.11106193904322
239,239,-106.10893556163444
240,240,-106.10845193680143
241,241,-106.1079186694925
242,242,-106.1061593789425
243,243,-106.10550776569073
244,244,-106.10534269233926
245,245,-106.10369454724218
246,246,-106.10299543116457
