,index,hotbit
0,0,-138.19057809624996
1,1,-138.18752000377708
2,2,-138.18425910089468
3,3,-138.18305447859962
4,4,-138.18304224079736
5,5,-138.18295774047158
6,6,-138.1826291084766
7,7,-138.18170943310713
8,8,-138.18081800871732
9,9,-138.18077217448922
10,10,-138.18035477229557
11,11,-138.18020108134374
12,12,-138.1791964772949
13,13,-138.1789255992701
14,14,-138.17778856280222
15,15,-138.1774986823806
16,16,-138.17730296256912
17,17,-138.17720922266653
18,18,-138.176171972406
19,19,-138.17595211275068
20,20,-138.17582482032878
21,21,-138.175569169926
22,22,-138.17446672145388
23,23,-138.17363959721945
24,24,-138.1734730746589
25,25,-138.17283042162092
26,26,-138.17220625874495
27,27,-138.172018911117
28,28,-138.171764741488
29,29,-138.17172343518428
30,30,-138.1713301694008
31,31,-138.17121661657757
32,32,-138.16979422662916
33,33,-138.16941276682223
34,34,-138.16929403287713
35,35,-138.1688711657888
36,36,-138.1685367329345
37,37,-138.16812193331566
38,38,-138.16802309367995
39,39,-138.1676229209246
40,40,-138.16748840464118
41,41,-138.16726938041882
42,42,-138.16695672093238
43,43,-138.16500104362285
44,44,-138.1635011134789
45,45,-138.16338896235732
46,46,-138.1633687357812
47,47,-138.1629198446135
48,48,-138.16200737322754
49,49,-138.160978056428
50,50,-138.1607505766308
51,51,-138.1600836415472
52,52,-138.1599770138704
53,53,-138.15970087679239
54,54,-138.15955476985744
55,55,-138.15951487274936
56,56,-138.15933011728248
57,57,-138.15897978368366
58,58,-138.1589491134024
59,59,-138.1585769735383
60,60,-138.15751349183506
61,61,-138.15659054267394
62,62,-138.15648438367987
63,63,-138.15627947119367
64,64,-138.1558487934044
65,65,-138.15556528552736
66,66,-138.1554145009593
67,67,-138.15524343016443
68,68,-138.1541030329305
69,69,-138.1540841225784
70,70,-138.15379127472772
71,71,-138.15376049059
72,72,-138.15363111710997
73,73,-138.1535519802917
74,74,-138.15291687046397
75,75,-138.15259735114591
76,76,-138.15254961835228
77,77,-138.15220451282585
78,78,-138.15190023581533
79,79,-138.15116319015897
80,80,-138.15104310243953
81,81,-138.15083010046794
82,82,-138.15015570975288
83,83,-138.14995130210798
84,84,-138.14944932329183
85,85,-138.1493982047307
86,86,-138.14904174450396
87,87,-138.148179608487
88,88,-138.14816229706503
89,89,-138.14788144090426
90,90,-138.14743467386756
91,91,-138.14742383177293
92,92,-138.1466560068351
93,93,-138.14660418201186
94,94,-138.14642656881097
95,95,-138.1464097809186
96,96,-138.14620914579575
97,97,-138.14607300201533
98,98,-138.14594797618122
99,99,-138.14572208384595
100,100,-138.1454154334857
101,101,-138.14527765447303
102,102,-138.14517676914227
103,103,-138.14499071847638
104,104,-138.14497937012084
105,105,-138.14494816680917
106,106,-138.14485003923585
107,107,-138.14474472924655
108,108,-138.14456621225747
109,109,-138.14435696455223
110,110,-138.14419947935596
111,111,-138.14252853897244
112,112,-138.1424973043571
113,113,-138.14229835477295
114,114,-138.14179948783817
115,115,-138.14179482183488
116,116,-138.1417581634928
117,117,-138.1417023019818
118,118,-138.14158997264076
119,119,-138.14148633798425
120,120,-138.1414787834384
121,121,-138.14132420836245
122,122,-138.14085206674656
123,123,-138.1406882104484
124,124,-138.14066257901015
125,125,-138.14050359862517
126,126,-138.14038355158846
127,127,-138.1403572593042
128,128,-138.14032880349373
129,129,-138.14032049540742
130,130,-138.14030369567172
131,131,-138.1402990871925
132,132,-138.14027879243974
133,133,-138.14023656219445
134,134,-138.1402157497829
135,135,-138.14016510932856
136,136,-138.1400194993696
137,137,-138.1398248646816
138,138,-138.1397556098467
139,139,-138.13975306223028
140,140,-138.1397246187189
141,141,-138.1396122727026
142,142,-138.1395147222271
143,143,-138.13950065403753
144,144,-138.13944124170052
145,145,-138.13936377354935
146,146,-138.13930480381998
147,147,-138.13907673974165
148,148,-138.138961981713
149,149,-138.13895834823256
150,150,-138.13878954105223
151,151,-138.1383894060973
152,152,-138.13834522228865
153,153,-138.13821567853665
154,154,-138.13815837214293
155,155,-138.13814402215178
156,156,-138.13812673134805
157,157,-138.13810845964167
158,158,-138.13809639512567
159,159,-138.13799105109342
160,160,-138.13790460114478
161,161,-138.1378528933493
162,162,-138.13782727841988
163,163,-138.13765079751363
164,164,-138.13761809098378
165,165,-138.13760971986687
166,166,-138.13757238476308
167,167,-138.13737356375862
168,168,-138.13732044651567
169,169,-138.1371847890764
170,170,-138.1370762473323
171,171,-138.1370052863848
172,172,-138.13698203375407
173,173,-138.13695552509262
174,174,-138.1368195339403
175,175,-138.1367324880365
176,176,-138.13670916723106
177,177,-138.13670463905817
178,178,-138.13658307894082
179,179,-138.1362451628388
180,180,-138.13605657070093
181,181,-138.1360483033286
182,182,-138.13598833595915
183,183,-138.13597237840554
184,184,-138.1359455856781
185,185,-138.13589555630608
186,186,-138.13588897489888
187,187,-138.13571977553136
188,188,-138.13570141098091
189,189,-138.13565388104655
190,190,-138.13562142765477
