,index,hotbit
0,0,-80.10638394748435
1,1,-80.10431705718372
2,2,-80.10336630383466
3,3,-80.10250627764492
4,4,-80.09797594934969
5,5,-80.09258890351572
6,6,-80.08018033674642
7,7,-80.07314578483596
8,8,-80.07009982042132
9,9,-80.06742906657752
10,10,-80.0635887854977
11,11,-80.06281917661875
12,12,-80.06144212101191
13,13,-80.06123499528621
14,14,-80.0607684726188
15,15,-80.05812584342016
16,16,-80.05750907177173
17,17,-80.05729292202017
18,18,-80.05645593054982
19,19,-80.05522913832414
20,20,-80.05349157791187
21,21,-80.05222529844377
22,22,-80.05183912365538
23,23,-80.05106645639006
24,24,-80.05052306351303
25,25,-80.04893708246868
26,26,-80.04829666401974
27,27,-80.04775046032915
28,28,-80.04718929111675
29,29,-80.04512467051518
30,30,-80.04438201108121
31,31,-80.04415205695244
32,32,-80.04053181112613
33,33,-80.04026848774782
34,34,-80.03894738322202
35,35,-80.03703027954708
36,36,-80.03666398394415
37,37,-80.0363010949606
38,38,-80.03380096791892
39,39,-80.03311499825548
40,40,-80.031810409397
41,41,-80.03102865963297
42,42,-80.02993118829568
43,43,-80.02506227536054
44,44,-80.01778411359919
45,45,-80.0149798704482
46,46,-80.0146141544875
47,47,-80.01401740678381
48,48,-80.00765333193527
49,49,-80.00205988464836
50,50,-80.00151005849176
51,51,-80.0006298563747
52,52,-80.00022192567815
53,53,-79.9996266540071
54,54,-79.99511428537738
55,55,-79.99123385027752
56,56,-79.98878714003848
57,57,-79.98809747839408
58,58,-79.98633585095473
59,59,-79.98213317300377
60,60,-79.98071712804278
61,61,-79.97873299517727
62,62,-79.97616772039765
63,63,-79.97487127821154
64,64,-79.97469521045667
65,65,-79.9731476634928
66,66,-79.97260799853461
67,67,-79.97251752880499
68,68,-79.97117314130378
69,69,-79.96159817872223
70,70,-79.95697362530035
71,71,-79.95427177958027
72,72,-79.94025999379897
73,73,-79.92304520582252
74,74,-79.91319818497703
75,75,-79.88878843226314
76,76,-79.86465052423421
77,77,-79.86317279842348
78,78,-79.86012596441827
79,79,-79.84588375493428
80,80,-79.83948707496899
81,81,-79.82754533243445
82,82,-79.80639657177971
83,83,-79.80416671290737
84,84,-79.79617388030408
85,85,-79.7852780618885
86,86,-79.78438232806121
87,87,-79.769343437376
88,88,-79.729674532378
89,89,-79.7272148228812
