,index,hotbit
0,0,-80.07656545571496
1,1,-80.07624644739275
2,2,-80.07591800931971
3,3,-80.0749807500045
4,4,-80.07479490648103
5,5,-80.07144354924475
6,6,-80.065107543691
7,7,-80.06384044509258
8,8,-80.04143323953002
9,9,-80.03799522486969
10,10,-80.03792500771817
11,11,-80.0363657857319
12,12,-80.03418274279682
13,13,-80.03406090717999
14,14,-80.03385788789825
15,15,-80.0301788739776
16,16,-80.02987130692117
17,17,-80.0290937675864
18,18,-80.02909013047537
19,19,-80.02879220821092
20,20,-80.02677448425135
21,21,-80.02673497590632
22,22,-80.02618366583494
23,23,-80.02511542060103
24,24,-80.0250468408359
25,25,-80.02480269629046
26,26,-80.02430367325672
27,27,-80.023771253098
28,28,-80.02306736123296
29,29,-80.0220894650721
30,30,-80.02097202156625
31,31,-80.0205572744872
32,32,-80.02053376414659
33,33,-80.02035938576489
34,34,-80.0132281253434
35,35,-80.01305738189996
36,36,-80.01277475640859
37,37,-80.00948255405837
38,38,-80.00821853821907
39,39,-80.00820044283307
40,40,-80.00560676033894
41,41,-80.00398722352844
42,42,-80.00234975107708
43,43,-80.00198220101169
44,44,-80.00083463560026
45,45,-80.00001771756047
46,46,-79.99983919123122
47,47,-79.9993764632693
48,48,-79.99525580596156
49,49,-79.99024066381935
50,50,-79.98220607628889
51,51,-79.97895782836906
52,52,-79.9784689045486
53,53,-79.9760746573096
54,54,-79.97004009561999
55,55,-79.96913597726012
56,56,-79.96690804991744
57,57,-79.9666684622602
58,58,-79.96626090498967
59,59,-79.96340910271374
60,60,-79.9623926886631
61,61,-79.9599286099438
62,62,-79.95575655130733
63,63,-79.95175791038605
64,64,-79.95036664152803
65,65,-79.9487713587074
66,66,-79.94687008507776
67,67,-79.9463835060285
68,68,-79.94238347267174
69,69,-79.9415955127468
70,70,-79.93203846545703
71,71,-79.93060422958416
72,72,-79.9293960954754
73,73,-79.92921472845904
74,74,-79.92872534938294
75,75,-79.92727940158693
76,76,-79.92265336944257
77,77,-79.91628825387198
78,78,-79.9105058711454
79,79,-79.90705070003958
80,80,-79.86536374477538
81,81,-79.86447709862034
82,82,-79.84960063160173
83,83,-79.84324103541007
84,84,-79.81460609287154
85,85,-79.80969918491166
86,86,-79.80529402287709
87,87,-79.80189332744794
88,88,-79.79388168187694
89,89,-79.77619529779037
90,90,-79.77547839176054
91,91,-79.77129794225453
92,92,-79.7649595824513
93,93,-79.75078344030942
94,94,-79.74948861198567
95,95,-79.741740252841
96,96,-79.73703441073798
97,97,-79.69386975306048
