,index,hotbit,gaussian
0,0.0,-2252.6578999898074,-219556.29094135627
1,1.0,-2252.596866992148,-219556.29094135627
2,2.0,-2252.550489537628,-219552.02046237237
3,3.0,-2252.5408157757292,-219556.29094135627
4,4.0,-2252.439890758788,-219552.08488374675
5,5.0,-2252.3824591475136,-219557.62189454437
6,6.0,-2251.7703181655565,-219557.62189454437
7,7.0,-2251.7579430576907,-219557.62189454437
8,8.0,-2251.6511258387563,-219557.62189454437
9,9.0,-2251.642027762973,-219556.59931597047
10,10.0,-2251.561887377801,-219552.52248080337
11,11.0,-2251.5336465838113,-219557.62189454437
12,12.0,-2251.499062523508,-219552.4913459152
13,13.0,-2251.4947606291335,-219552.84927056488
14,14.0,-2251.4937028357604,-219552.84927056488
15,15.0,-2251.4805875940347,-219552.52248080337
16,16.0,-2251.4067394779486,-219552.84927056488
17,17.0,-2251.364498237924,-219552.84927056488
18,18.0,-2251.3422792952224,-219551.07167095222
19,19.0,-2251.3334977311765,-219553.10885453105
20,20.0,-2251.330531788368,-219550.4815635693
21,21.0,-2251.170059430914,-219551.97357019322
22,22.0,-2250.6153769531315,-219556.59931597047
23,23.0,-2250.5084532385363,-219553.10885453105
24,24.0,-2250.41067342528,-219551.41383831092
25,25.0,-2250.069271007789,-219551.07167095222
26,26.0,-2250.0684374412112,-219548.59182773333
27,27.0,-2250.0450532298382,-219552.02046237237
28,28.0,-2250.023423302561,-219553.10885453105
29,29.0,-2249.9747268715546,-219553.10885453105
30,30.0,-2249.9505629186733,-219551.97357019322
31,30.999999999999996,-2249.9462496078745,-219556.59931597047
32,32.0,-2249.941363104366,-219552.4913459152
33,33.0,-2249.928649786937,-219551.97357019322
34,34.0,-2249.920931801176,-219552.4913459152
35,35.0,-2249.916775543321,-219552.52248080337
36,36.0,-2249.8576187717713,-219552.52248080337
37,37.0,-2249.828106065014,-219552.4913459152
38,38.0,-2249.8171620756275,-219552.4913459152
39,39.0,-2249.812823137843,-219556.59931597047
40,40.0,-2249.7382846331893,-219556.29094135627
41,41.0,-2249.719432320932,-219547.76137420122
42,42.0,-2249.6425042935157,-219551.41383831092
43,43.0,-2249.327664422362,-219557.62189454437
44,44.0,-2249.26361449509,-219557.62189454437
45,45.0,-2249.2006875594902,-219552.84927056488
46,46.0,-2248.8210418035487,-219552.08488374675
47,46.99999999999999,-2248.805950621183,-219549.73641456827
48,48.0,-2248.6521665351725,-219552.02046237237
49,49.0,-2248.539155420068,
50,50.0,-2248.0910700722525,
51,50.99999999999999,-2247.9980687479824,
52,52.0,-2247.825474076826,
53,53.0,-2247.5463889844787,
54,54.0,-2247.37495645007,
55,55.00000000000001,-2246.8976570133736,
