,index,hotbit,gaussian
0,0.0,-2843.738751335561,-174874.01930433986
1,1.0,-2843.734309127868,-174869.9707563578
2,2.0,-2843.7179117885853,-174872.10963458157
3,3.0,-2843.701732508371,-174873.7823121523
4,4.0,-2843.6828333103313,-174874.01930433986
5,5.0,-2843.661549660585,-174872.10963458157
6,6.0,-2843.637804954433,-174874.37887432915
7,7.0,-2843.6274161003407,-174872.15469157425
8,8.0,-2843.6242930582307,-174869.9707563578
9,9.0,-2843.1094035737374,-174874.30850441926
10,10.0,-2843.106369503739,-174873.73434417415
11,11.0,-2843.0831080764706,-174872.60950141464
12,12.0,-2843.0483107296095,-174874.01930433986
13,13.0,-2842.9184945885704,-174874.01930433986
14,14.0,-2842.9131521837076,-174873.73434417415
15,15.0,-2842.9091283930447,-174873.73434417415
16,16.0,-2842.844280367755,-174870.86113822143
17,17.0,-2842.8323278951184,-174871.50263082635
18,18.0,-2842.8295087273564,-174870.86113822143
19,19.0,-2842.829406184168,-174869.9707563578
20,20.0,-2842.8285833522236,-174872.0447069489
21,21.0,-2842.798960381136,-174874.30850441926
22,22.0,-2842.794886135158,-174869.10904137293
23,23.0,-2842.7922466488926,-174872.06236270868
24,24.0,-2842.787273419859,-174874.20655664508
25,25.0,-2842.7868569014177,-174874.01930433986
26,26.0,-2842.785414675673,-174873.7823121523
27,27.0,-2842.78368966137,-174872.14285778542
28,28.0,-2842.7831273762217,-174872.67158134416
29,29.0,-2842.778115025152,-174874.20655664508
30,30.0,-2842.7767901043176,-174872.14285778542
31,30.999999999999996,-2842.7747962159633,-174872.0143314482
32,32.0,-2842.7740995858176,-174872.49242917242
33,33.0,-2842.763785651926,-174872.5019847987
34,34.0,-2842.761679416757,-174874.20655664508
35,35.0,-2842.761146766794,-174874.30850441926
36,36.0,-2842.753354587016,-174874.20655664508
37,37.0,-2842.7504899172836,-174873.7823121523
38,38.0,-2842.735682573409,-174870.86113822143
39,39.0,-2842.735074564821,-174873.7823121523
40,40.0,-2842.733149669738,-174874.01930433986
41,41.0,-2842.732123454377,-174874.01930433986
42,42.0,-2842.730577918171,-174872.10963458157
43,43.0,-2842.7257000559866,-174874.3863416397
44,44.0,-2842.7188176005498,-174874.01930433986
45,45.0,-2842.7166369919414,-174873.73434417415
46,46.0,-2842.711864109836,-174874.3863416397
47,46.99999999999999,-2842.711846177426,-174874.37887432915
48,48.0,-2842.7089082505704,
49,49.0,-2842.708290760695,
50,50.0,-2842.707298423617,
51,50.99999999999999,-2842.706092372339,
52,52.0,-2842.700986074089,
53,53.0,-2842.7006776728235,
54,54.0,-2842.698699951328,
55,55.00000000000001,-2842.685376331401,
56,56.0,-2842.6813812777787,
57,57.0,-2842.679631338048,
58,58.0,-2842.6759166490574,
59,59.00000000000001,-2842.6754993138507,
60,60.0,-2842.6711191869845,
61,61.0,-2842.6707887937005,
62,61.99999999999999,-2842.6689120423785,
63,63.00000000000001,-2842.66647235788,
64,64.0,-2842.6636695083444,
65,65.0,-2842.663663582605,
66,66.0,-2842.6573838755917,
67,67.0,-2842.655177386284,
68,68.0,-2842.6542595884252,
69,69.0,-2842.654255936521,
70,70.0,-2842.6517007257994,
71,71.0,-2842.650674527093,
72,72.0,-2842.65044540236,
73,73.0,-2842.6498560659425,
74,74.0,-2842.6491760886497,
75,75.0,-2842.6489416425443,
76,76.0,-2842.644235966865,
77,77.0,-2842.6380837116517,
78,78.0,-2842.637734559531,
79,79.0,-2842.6350970118338,
80,80.0,-2842.634161838917,
81,81.0,-2842.630758435577,
82,82.0,-2842.6300865530334,
83,83.0,-2842.6295915876262,
84,84.0,-2842.628827409841,
85,85.0,-2842.627470794775,
86,86.0,-2842.6271324951827,
87,87.0,-2842.624811729253,
88,88.0,-2842.6213158048795,
89,89.0,-2842.621043581058,
90,90.0,-2842.6174345688205,
91,91.00000000000001,-2842.613233016663,
92,92.0,-2842.6108021430996,
93,93.0,-2842.605732775724,
94,93.99999999999999,-2842.5961233072467,
95,95.0,-2842.5952522253256,
96,96.0,-2842.5923977776915,
97,97.0,-2842.5910825216283,
98,98.0,-2842.5896192810947,
99,99.00000000000001,-2842.585571961873,
100,100.0,-2842.5808427817433,
101,101.0,-2842.578250720569,
102,101.99999999999999,-2842.5685214027853,
103,103.0,-2842.5610640695854,
104,104.0,-2842.556449505491,
105,105.0,-2842.5560802155046,
106,106.0,-2842.554023951152,
107,107.00000000000001,-2842.5496797185024,
108,108.0,-2842.5452672503206,
109,109.0,-2842.5449221956246,
110,110.00000000000001,-2842.54242691619,
111,111.0,-2842.541299512424,
112,112.0,-2842.5393357703338,
113,112.99999999999999,-2842.538862737792,
114,114.0,-2842.5376440838636,
115,115.0,-2842.5370770772042,
116,116.0,-2842.536857435058,
117,117.0,-2842.5367433822375,
118,118.00000000000001,-2842.536421658103,
119,119.0,-2842.534562680487,
120,120.0,-2842.532455425749,
121,120.99999999999999,-2842.5321006391323,
122,122.0,-2842.5319727590004,
123,123.0,-2842.5303313892655,
124,123.99999999999999,-2842.5298859315867,
125,125.0,-2842.529645413745,
126,126.00000000000001,-2842.5294796865473,
127,127.0,-2842.526586265797,
128,128.0,-2842.5253810082845,
129,129.0,-2842.52526485661,
130,130.0,-2842.5246137639356,
131,131.0,-2842.523358533803,
132,132.0,-2842.523045003148,
133,133.0,-2842.5222157861895,
134,134.0,-2842.5220396628215,
135,135.0,-2842.5218024710603,
136,136.0,-2842.5198889974426,
137,137.0,-2842.519475504279,
138,138.0,-2842.5174921256653,
139,139.0,-2842.5170218318217,
140,140.0,-2842.5163687995146,
141,141.0,-2842.5149754515423,
142,142.0,-2842.510552741047,
143,143.0,-2842.5092145727476,
144,144.0,-2842.508924807449,
145,145.0,-2842.5074081590387,
146,146.0,-2842.5071760682567,
147,147.0,-2842.505222787771,
148,148.0,-2842.5042774550116,
149,149.0,-2842.504111509834,
150,150.0,-2842.499557523338,
151,151.0,-2842.499473274099,
152,152.0,-2842.4978768632336,
153,153.0,-2842.497358789729,
154,154.0,-2842.4966503015107,
155,155.0,-2842.493095830588,
156,156.0,-2842.49182284459,
157,157.0,-2842.4893879237843,
158,158.0,-2842.48850654314,
159,159.0,-2842.4877942768003,
160,160.0,-2842.4873983815164,
161,161.0,-2842.4873404542946,
162,162.0,-2842.486924372502,
163,163.0,-2842.4846312173772,
164,164.0,-2842.484247008425,
165,165.0,-2842.482971913261,
166,166.0,-2842.482223011749,
167,167.0,-2842.481900196384,
168,168.0,-2842.4818326075874,
169,169.0,-2842.479708766173,
170,170.0,-2842.478952271286,
171,171.0,-2842.477912821256,
172,172.0,-2842.4772630907305,
173,173.0,-2842.4770426656187,
174,174.0,-2842.475603436965,
175,175.0,-2842.4753632421266,
176,176.0,-2842.473777024635,
177,176.99999999999997,-2842.47180247031,
