,index,hotbit,gaussian
0,0.0,-1485.882724453761,-169801.6980419691
1,1.0,-1485.6714787356107,-169797.24303181857
2,2.0,-1485.6666468479139,-169801.6980419691
3,3.0,-1485.0101895458797,-169797.24303181857
4,4.0,-1484.7884757912584,-169797.24303181857
5,5.0,-1484.783589583934,-169798.61201766477
6,6.0,-1484.6121763534518,-169801.6980419691
7,7.0,-1484.391983386323,-169801.6980419691
8,8.0,-1484.3866563116844,-169801.6980419691
9,9.0,-1484.0587232096696,-169801.6980419691
10,10.0,-1483.9203743003118,-169798.61201766477
11,11.0,-1483.899090498579,-169801.6980419691
12,12.0,-1483.7400473473067,-169797.24303181857
13,13.0,-1483.6777820801049,-169797.24303181857
14,14.0,-1483.4838484554966,-169798.61201766477
15,15.0,-1483.1938618966171,-169798.61201766477
