,index,hotbit
0,0,-108.6596484663255
1,1,-108.65960674203563
2,2,-108.65960241231244
3,3,-108.19293409324405
4,4,-108.1928328784636
5,5,-108.19049928776462
6,6,-108.18975021012795
7,7,-108.18973379713907
8,8,-108.18970924911332
9,9,-108.18952706009179
10,10,-108.18948695298866
11,11,-108.18686073564663
12,12,-108.17818202071021
13,13,-108.17807426891648
14,14,-108.1700259636101
15,15,-108.16279142533404
16,16,-108.16278703350122
17,17,-108.16271123055014
18,18,-108.15936468323821
19,19,-108.15846735575917
20,20,-108.15845072702143
21,21,-108.15841830945794
22,22,-108.15728691466256
23,23,-108.1572449346977
24,24,-108.15691670912997
25,25,-108.15666800077383
26,26,-108.1563907154183
27,27,-108.15606145017273
28,28,-108.1559836506924
29,29,-108.15584375515618
30,30,-108.15450386567306
31,31,-108.15443949721839
32,32,-108.15435218482139
33,33,-108.15243047866409
34,34,-108.15180789780948
35,35,-108.15152994157154
36,36,-108.1511989250987
37,37,-108.15119885758213
38,38,-108.15075823417078
39,39,-108.14964292706361
40,40,-108.1496175172415
41,41,-108.1496170184979
42,42,-108.14935364095129
43,43,-108.14927919725756
44,44,-108.14886386695548
45,45,-108.148795343512
46,46,-108.14755949050607
47,47,-108.1462954446124
48,48,-108.14615266046576
49,49,-108.14587280593696
50,50,-108.14529588386893
51,51,-108.13577399654866
52,52,-108.13544645572699
53,53,-108.13538526801403
54,54,-108.13536893566823
55,55,-108.1353657164749
56,56,-108.13507501199945
57,57,-108.12870680572405
58,58,-108.12847097872111
59,59,-108.12844730445863
60,60,-108.12805176901452
61,61,-108.12804540570767
62,62,-108.12793555129576
63,63,-108.12496034236176
64,64,-108.12494222445162
65,65,-108.12494036766077
66,66,-108.12138252502314
67,67,-108.12114193838818
68,68,-108.11890976697396
69,69,-108.11876282481239
70,70,-108.11875612325821
71,71,-108.11865157451211
72,72,-108.11860540579062
73,73,-108.1183180250855
74,74,-108.11812427175767
75,75,-108.11775919919262
76,76,-108.11701229378036
77,77,-108.1169757019253
78,78,-108.11697309555643
79,79,-108.11678244476786
80,80,-108.11558472760794
81,81,-108.11266365891811
82,82,-108.11258932276849
83,83,-108.11256897226076
84,84,-108.11079887627852
85,85,-108.11077400246847
86,86,-108.10839607678156
87,87,-108.10829372358921
88,88,-108.10828890492746
89,89,-108.10756592738574
90,90,-108.10587347895193
91,91,-108.10582424897461
92,92,-108.10578142130089
93,93,-108.10571215675543
94,94,-108.10569646348881
95,95,-108.10518415526849
96,96,-108.10466259775649
97,97,-108.10379341948772
98,98,-108.10376885511266
99,99,-108.10312890328237
100,100,-108.10227002739316
101,101,-108.10210577159921
102,102,-108.09971798665867
103,103,-108.09970650518244
104,104,-108.09959518281119
105,105,-108.09833779901726
106,106,-108.09832028700964
107,107,-108.09788573725166
108,108,-108.0977195080643
109,109,-108.09768878894306
110,110,-108.09697036442446
