,index,hotbit
0,0,-80.10721165190012
1,1,-80.10715894203008
2,2,-80.10566331919688
3,3,-80.10515115963756
4,4,-80.09586074904752
5,5,-80.07906041372206
6,6,-80.07891641945861
7,7,-80.07404600526104
8,8,-80.07126541851574
9,9,-80.0681215995707
10,10,-80.06457285093103
11,11,-80.06455548347111
12,12,-80.06396013850457
13,13,-80.06392579554387
14,14,-80.06205389076922
15,15,-80.06180345961508
16,16,-80.058804509048
17,17,-80.05870205833418
18,18,-80.05852922690747
19,19,-80.05724857699852
20,20,-80.05490817311414
21,21,-80.0545929813988
22,22,-80.05453036499745
23,23,-80.05400531621575
24,24,-80.05362047488876
25,25,-80.052760950415
26,26,-80.05175791356464
27,27,-80.05169735274598
28,28,-80.0505305231543
29,29,-80.0501466262013
30,30,-80.04860376904384
31,31,-80.04710122721275
32,32,-80.04703558170212
33,33,-80.0468995078823
34,34,-80.043685980019
35,35,-80.03970126636437
36,36,-80.03119162475406
37,37,-80.01850319564807
38,38,-80.00428389560096
39,39,-80.00407387378459
40,40,-80.00371514218551
41,41,-80.00224640531337
42,42,-80.00157044333713
43,43,-80.00037231092767
44,44,-79.9898009778181
45,45,-79.9897177209321
46,46,-79.98953006780442
47,47,-79.97470865366154
48,48,-79.97425985723885
49,49,-79.97351691802226
